# -*- ck2.history.provinces -*-

# 1126 - Modica/Ragusa

# County Title
title = c_modica

# Settlements
max_settlements = 6 #old 6

b_ragusa_sicily = castle
b_modica = city
b_syracusa = city
#b_noto = city
#b_buccheri = castle
#b_mineo = castle




# Misc
culture = greek
religion = orthodox
terrain = hills

# History
399.1.1 = {
	religion = nicene_christian
	culture = roman_greek
}
601.1.1 = {
	religion = orthodox
	culture = greek
}

888.1.1={ culture = maghreb_arabic }
888.1.1={ religion = sunni }
960.1.1={ culture = sicilian_arabic }
# EDITMOD 1066
1066.1.1 = {
	b_ragusa_sicily = castle
	b_ragusa_sicily = ca_barracks_1
	b_ragusa_sicily = ca_barracks_2
	b_ragusa_sicily = ca_barracks_3
	b_ragusa_sicily = ca_wall_1
	b_ragusa_sicily = ca_wall_2
	b_ragusa_sicily = ca_keep_1
	b_ragusa_sicily = ca_keep_2
	b_ragusa_sicily = ca_keep_3
	b_ragusa_sicily = ca_militia_barracks_1
	b_ragusa_sicily = ca_militia_barracks_2
	b_ragusa_sicily = ca_militia_barracks_3
	b_ragusa_sicily = ca_training_grounds_1
	b_ragusa_sicily = ca_training_grounds_2
	b_ragusa_sicily = ca_stable_1
	b_ragusa_sicily = ca_stable_2
	b_ragusa_sicily = ca_stable_3
	b_ragusa_sicily = ca_town_1
	b_ragusa_sicily = ca_town_2
	b_ragusa_sicily = ca_town_3
	b_ragusa_sicily = ca_wall_q_1
	b_ragusa_sicily = ca_wall_q_2
	b_ragusa_sicily = castle_tower_1
	b_ragusa_sicily = castle_tower_2
	b_ragusa_sicily = castle_smith_1
	b_ragusa_sicily = castle_smith_2
	b_ragusa_sicily = stone_mine_1
	b_noto = castle
	b_noto = ca_barracks_1
	b_noto = ca_barracks_2
	b_noto = ca_barracks_3
	b_noto = ca_wall_1
	b_noto = ca_wall_2
	b_noto = ca_keep_1
	b_noto = ca_keep_2
	b_noto = ca_keep_3
	b_noto = ca_militia_barracks_1
	b_noto = ca_militia_barracks_2
	b_noto = ca_militia_barracks_3
	b_noto = ca_training_grounds_1
	b_noto = ca_training_grounds_2
	b_noto = ca_stable_1
	b_noto = ca_stable_2
	b_noto = ca_stable_3
	b_noto = ca_town_1
	b_noto = ca_town_2
	b_noto = ca_town_3
	b_noto = ca_wall_q_1
	b_noto = ca_wall_q_2
	b_noto = castle_tower_1
	b_noto = castle_tower_2
	b_noto = castle_smith_1
	b_noto = castle_smith_2
	b_noto = stone_mine_1
	b_buccheri = castle
	b_buccheri = ca_barracks_1
	b_buccheri = ca_barracks_2
	b_buccheri = ca_barracks_3
	b_buccheri = ca_wall_1
	b_buccheri = ca_wall_2
	b_buccheri = ca_keep_1
	b_buccheri = ca_keep_2
	b_buccheri = ca_keep_3
	b_buccheri = ca_militia_barracks_1
	b_buccheri = ca_militia_barracks_2
	b_buccheri = ca_militia_barracks_3
	b_buccheri = ca_training_grounds_1
	b_buccheri = ca_training_grounds_2
	b_buccheri = ca_stable_1
	b_buccheri = ca_stable_2
	b_buccheri = ca_stable_3
	b_buccheri = ca_town_1
	b_buccheri = ca_town_2
	b_buccheri = ca_town_3
	b_buccheri = ca_wall_q_1
	b_buccheri = ca_wall_q_2
	b_buccheri = castle_tower_1
	b_buccheri = castle_tower_2
	b_buccheri = castle_smith_1
	b_buccheri = castle_smith_2
	b_buccheri = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_noto
	remove_settlement = b_buccheri
}

1088.1.1={ b_buccheri = castle }
1116.1.1={ culture = sicilian }
1116.1.1={ religion = catholic }
