# -*- ck2.history.provinces -*-

# 1491 - Shapurkhwast

# County Title
title = c_shapurkhwast

# Settlements
max_settlements = 4 #old 3
b_shapurkhwast = castle
b_burujerd = city
#b_khurramabad = castle

#Misc
culture = persian
religion = sunni

# History
399.1.1 = {
	religion = zoroastrian
	culture = persian
}
601.1.1 = {
	religion = sunni
	culture = persian
}
# EDITMOD 1066
1066.1.1 = {
	b_shapurkhwast = castle
	b_shapurkhwast = ca_barracks_1
	b_shapurkhwast = ca_barracks_2
	b_shapurkhwast = ca_barracks_3
	b_shapurkhwast = ca_wall_1
	b_shapurkhwast = ca_wall_2
	b_shapurkhwast = ca_keep_1
	b_shapurkhwast = ca_keep_2
	b_shapurkhwast = ca_keep_3
	b_shapurkhwast = ca_militia_barracks_1
	b_shapurkhwast = ca_militia_barracks_2
	b_shapurkhwast = ca_militia_barracks_3
	b_shapurkhwast = ca_training_grounds_1
	b_shapurkhwast = ca_training_grounds_2
	b_shapurkhwast = ca_stable_1
	b_shapurkhwast = ca_stable_2
	b_shapurkhwast = ca_stable_3
	b_shapurkhwast = ca_town_1
	b_shapurkhwast = ca_town_2
	b_shapurkhwast = ca_town_3
	b_shapurkhwast = ca_wall_q_1
	b_shapurkhwast = ca_wall_q_2
	b_shapurkhwast = castle_tower_1
	b_shapurkhwast = castle_smith_1
	b_shapurkhwast = stone_mine_1
	b_khurramabad = castle
	b_khurramabad = ca_barracks_1
	b_khurramabad = ca_barracks_2
	b_khurramabad = ca_barracks_3
	b_khurramabad = ca_wall_1
	b_khurramabad = ca_wall_2
	b_khurramabad = ca_keep_1
	b_khurramabad = ca_keep_2
	b_khurramabad = ca_keep_3
	b_khurramabad = ca_militia_barracks_1
	b_khurramabad = ca_militia_barracks_2
	b_khurramabad = ca_militia_barracks_3
	b_khurramabad = ca_training_grounds_1
	b_khurramabad = ca_training_grounds_2
	b_khurramabad = ca_stable_1
	b_khurramabad = ca_stable_2
	b_khurramabad = ca_stable_3
	b_khurramabad = ca_town_1
	b_khurramabad = ca_town_2
	b_khurramabad = ca_town_3
	b_khurramabad = ca_wall_q_1
	b_khurramabad = ca_wall_q_2
	b_khurramabad = castle_tower_1
	b_khurramabad = castle_smith_1
	b_khurramabad = stone_mine_1
	b_shapurkhwast4 = castle
	b_shapurkhwast4 = ca_barracks_1
	b_shapurkhwast4 = ca_barracks_2
	b_shapurkhwast4 = ca_barracks_3
	b_shapurkhwast4 = ca_wall_1
	b_shapurkhwast4 = ca_wall_2
	b_shapurkhwast4 = ca_keep_1
	b_shapurkhwast4 = ca_keep_2
	b_shapurkhwast4 = ca_keep_3
	b_shapurkhwast4 = ca_militia_barracks_1
	b_shapurkhwast4 = ca_militia_barracks_2
	b_shapurkhwast4 = ca_militia_barracks_3
	b_shapurkhwast4 = ca_training_grounds_1
	b_shapurkhwast4 = ca_training_grounds_2
	b_shapurkhwast4 = ca_stable_1
	b_shapurkhwast4 = ca_stable_2
	b_shapurkhwast4 = ca_stable_3
	b_shapurkhwast4 = ca_town_1
	b_shapurkhwast4 = ca_town_2
	b_shapurkhwast4 = ca_town_3
	b_shapurkhwast4 = ca_wall_q_1
	b_shapurkhwast4 = ca_wall_q_2
	b_shapurkhwast4 = castle_tower_1
	b_shapurkhwast4 = castle_smith_1
	b_shapurkhwast4 = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_khurramabad
	remove_settlement = b_shapurkhwast4
}

1250.1.1 = {
	b_khurramabad = castle
}
