# -*- ck2.history.provinces -*-

# 1591 - Erbil

# County Title
title = c_erbil

# Settlements
max_settlements = 5 #old 4
b_arbil = castle
b_shaqlawa = city
b_darabad = temple
#b_tellhaftun = city

#Misc
culture = kurdish
religion = nestorian

# History
# EDITMOD 867
867.1.1 = {
	b_arbil = castle
	b_arbil = ca_barracks_1
	b_arbil = ca_barracks_2
	b_arbil = ca_wall_1
	b_arbil = ca_wall_2
	b_arbil = ca_keep_1
	b_arbil = ca_keep_2
	b_arbil = ca_militia_barracks_1
	b_arbil = ca_militia_barracks_2
	b_arbil = ca_training_grounds_1
	b_arbil = ca_training_grounds_2
	b_arbil = ca_stable_1
	b_arbil = ca_stable_2
	b_arbil = ca_town_1
	b_arbil = ca_town_2
	b_arbil = ca_wall_q_1
	b_arbil = castle_tower_1
	b_arbil = castle_smith_1
	b_arbil = stone_mine_1
	b_tellhaftun = castle
	b_tellhaftun = ca_barracks_1
	b_tellhaftun = ca_barracks_2
	b_tellhaftun = ca_wall_1
	b_tellhaftun = ca_wall_2
	b_tellhaftun = ca_keep_1
	b_tellhaftun = ca_keep_2
	b_tellhaftun = ca_militia_barracks_1
	b_tellhaftun = ca_militia_barracks_2
	b_tellhaftun = ca_training_grounds_1
	b_tellhaftun = ca_training_grounds_2
	b_tellhaftun = ca_stable_1
	b_tellhaftun = ca_stable_2
	b_tellhaftun = ca_town_1
	b_tellhaftun = ca_town_2
	b_tellhaftun = ca_wall_q_1
	b_tellhaftun = castle_tower_1
	b_tellhaftun = castle_smith_1
	b_tellhaftun = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_tellhaftun
}

# EDITMOD 936
936.1.1 = {
	b_arbil = castle
	b_arbil = ca_barracks_1
	b_arbil = ca_barracks_2
	b_arbil = ca_wall_1
	b_arbil = ca_wall_2
	b_arbil = ca_keep_1
	b_arbil = ca_keep_2
	b_arbil = ca_militia_barracks_1
	b_arbil = ca_militia_barracks_2
	b_arbil = ca_training_grounds_1
	b_arbil = ca_training_grounds_2
	b_arbil = ca_stable_1
	b_arbil = ca_stable_2
	b_arbil = ca_town_1
	b_arbil = ca_town_2
	b_arbil = ca_wall_q_1
	b_arbil = castle_tower_1
	b_arbil = castle_smith_1
	b_arbil = stone_mine_1
	b_tellhaftun = castle
	b_tellhaftun = ca_barracks_1
	b_tellhaftun = ca_barracks_2
	b_tellhaftun = ca_wall_1
	b_tellhaftun = ca_wall_2
	b_tellhaftun = ca_keep_1
	b_tellhaftun = ca_keep_2
	b_tellhaftun = ca_militia_barracks_1
	b_tellhaftun = ca_militia_barracks_2
	b_tellhaftun = ca_training_grounds_1
	b_tellhaftun = ca_training_grounds_2
	b_tellhaftun = ca_stable_1
	b_tellhaftun = ca_stable_2
	b_tellhaftun = ca_town_1
	b_tellhaftun = ca_town_2
	b_tellhaftun = ca_wall_q_1
	b_tellhaftun = castle_tower_1
	b_tellhaftun = castle_smith_1
	b_tellhaftun = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_tellhaftun
}

# EDITMOD 1066
1066.1.1 = {
	b_arbil = castle
	b_arbil = ca_barracks_1
	b_arbil = ca_barracks_2
	b_arbil = ca_barracks_3
	b_arbil = ca_wall_1
	b_arbil = ca_wall_2
	b_arbil = ca_keep_1
	b_arbil = ca_keep_2
	b_arbil = ca_keep_3
	b_arbil = ca_militia_barracks_1
	b_arbil = ca_militia_barracks_2
	b_arbil = ca_militia_barracks_3
	b_arbil = ca_training_grounds_1
	b_arbil = ca_training_grounds_2
	b_arbil = ca_stable_1
	b_arbil = ca_stable_2
	b_arbil = ca_stable_3
	b_arbil = ca_town_1
	b_arbil = ca_town_2
	b_arbil = ca_town_3
	b_arbil = ca_wall_q_1
	b_arbil = ca_wall_q_2
	b_arbil = castle_tower_1
	b_arbil = castle_smith_1
	b_arbil = stone_mine_1
	b_tellhaftun = castle
	b_tellhaftun = ca_barracks_1
	b_tellhaftun = ca_barracks_2
	b_tellhaftun = ca_barracks_3
	b_tellhaftun = ca_wall_1
	b_tellhaftun = ca_wall_2
	b_tellhaftun = ca_keep_1
	b_tellhaftun = ca_keep_2
	b_tellhaftun = ca_keep_3
	b_tellhaftun = ca_militia_barracks_1
	b_tellhaftun = ca_militia_barracks_2
	b_tellhaftun = ca_militia_barracks_3
	b_tellhaftun = ca_training_grounds_1
	b_tellhaftun = ca_training_grounds_2
	b_tellhaftun = ca_stable_1
	b_tellhaftun = ca_stable_2
	b_tellhaftun = ca_stable_3
	b_tellhaftun = ca_town_1
	b_tellhaftun = ca_town_2
	b_tellhaftun = ca_town_3
	b_tellhaftun = ca_wall_q_1
	b_tellhaftun = ca_wall_q_2
	b_tellhaftun = castle_tower_1
	b_tellhaftun = castle_smith_1
	b_tellhaftun = stone_mine_1
	b_erbil5 = castle
	b_erbil5 = ca_barracks_1
	b_erbil5 = ca_barracks_2
	b_erbil5 = ca_barracks_3
	b_erbil5 = ca_wall_1
	b_erbil5 = ca_wall_2
	b_erbil5 = ca_keep_1
	b_erbil5 = ca_keep_2
	b_erbil5 = ca_keep_3
	b_erbil5 = ca_militia_barracks_1
	b_erbil5 = ca_militia_barracks_2
	b_erbil5 = ca_militia_barracks_3
	b_erbil5 = ca_training_grounds_1
	b_erbil5 = ca_training_grounds_2
	b_erbil5 = ca_stable_1
	b_erbil5 = ca_stable_2
	b_erbil5 = ca_stable_3
	b_erbil5 = ca_town_1
	b_erbil5 = ca_town_2
	b_erbil5 = ca_town_3
	b_erbil5 = ca_wall_q_1
	b_erbil5 = ca_wall_q_2
	b_erbil5 = castle_tower_1
	b_erbil5 = castle_smith_1
	b_erbil5 = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_tellhaftun
	remove_settlement = b_erbil5
}

1200.1.1 = {
	religion = yazidi
}
