# -*- ck2.history.provinces -*-

# 162 - Silves

# County Title
title = c_silves

# Settlements
max_settlements = 5 #old 4
b_silves = castle
b_lagos = city
b_aljezur = temple
#b_castroverde = castle


# Misc
culture = andalusian_arabic
religion = sunni

# History
# EDITMOD 867
867.1.1 = {
	b_silves = castle
	b_silves = ca_barracks_1
	b_silves = ca_barracks_2
	b_silves = ca_wall_1
	b_silves = ca_wall_2
	b_silves = ca_keep_1
	b_silves = ca_keep_2
	b_silves = ca_militia_barracks_1
	b_silves = ca_militia_barracks_2
	b_silves = ca_training_grounds_1
	b_silves = ca_training_grounds_2
	b_silves = ca_stable_1
	b_silves = ca_stable_2
	b_silves = ca_town_1
	b_silves = ca_town_2
	b_silves = ca_wall_q_1
	b_silves = castle_tower_1
	b_silves = castle_smith_1
	b_silves = stone_mine_1
	b_castroverde = castle
	b_castroverde = ca_barracks_1
	b_castroverde = ca_barracks_2
	b_castroverde = ca_wall_1
	b_castroverde = ca_wall_2
	b_castroverde = ca_keep_1
	b_castroverde = ca_keep_2
	b_castroverde = ca_militia_barracks_1
	b_castroverde = ca_militia_barracks_2
	b_castroverde = ca_training_grounds_1
	b_castroverde = ca_training_grounds_2
	b_castroverde = ca_stable_1
	b_castroverde = ca_stable_2
	b_castroverde = ca_town_1
	b_castroverde = ca_town_2
	b_castroverde = ca_wall_q_1
	b_castroverde = castle_tower_1
	b_castroverde = castle_smith_1
	b_castroverde = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_castroverde
}

# EDITMOD 936
936.1.1 = {
	b_silves = castle
	b_silves = ca_barracks_1
	b_silves = ca_barracks_2
	b_silves = ca_wall_1
	b_silves = ca_wall_2
	b_silves = ca_keep_1
	b_silves = ca_keep_2
	b_silves = ca_militia_barracks_1
	b_silves = ca_militia_barracks_2
	b_silves = ca_training_grounds_1
	b_silves = ca_training_grounds_2
	b_silves = ca_stable_1
	b_silves = ca_stable_2
	b_silves = ca_town_1
	b_silves = ca_town_2
	b_silves = ca_wall_q_1
	b_silves = castle_tower_1
	b_silves = castle_smith_1
	b_silves = stone_mine_1
	b_castroverde = castle
	b_castroverde = ca_barracks_1
	b_castroverde = ca_barracks_2
	b_castroverde = ca_wall_1
	b_castroverde = ca_wall_2
	b_castroverde = ca_keep_1
	b_castroverde = ca_keep_2
	b_castroverde = ca_militia_barracks_1
	b_castroverde = ca_militia_barracks_2
	b_castroverde = ca_training_grounds_1
	b_castroverde = ca_training_grounds_2
	b_castroverde = ca_stable_1
	b_castroverde = ca_stable_2
	b_castroverde = ca_town_1
	b_castroverde = ca_town_2
	b_castroverde = ca_wall_q_1
	b_castroverde = castle_tower_1
	b_castroverde = castle_smith_1
	b_castroverde = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_castroverde
}

# EDITMOD 1066
1066.1.1 = {
	b_silves = castle
	b_silves = ca_barracks_1
	b_silves = ca_barracks_2
	b_silves = ca_barracks_3
	b_silves = ca_wall_1
	b_silves = ca_wall_2
	b_silves = ca_keep_1
	b_silves = ca_keep_2
	b_silves = ca_keep_3
	b_silves = ca_militia_barracks_1
	b_silves = ca_militia_barracks_2
	b_silves = ca_militia_barracks_3
	b_silves = ca_training_grounds_1
	b_silves = ca_training_grounds_2
	b_silves = ca_stable_1
	b_silves = ca_stable_2
	b_silves = ca_stable_3
	b_silves = ca_town_1
	b_silves = ca_town_2
	b_silves = ca_town_3
	b_silves = ca_wall_q_1
	b_silves = ca_wall_q_2
	b_silves = castle_tower_1
	b_silves = castle_tower_2
	b_silves = castle_smith_1
	b_silves = castle_smith_2
	b_silves = stone_mine_1
	b_castroverde = castle
	b_castroverde = ca_barracks_1
	b_castroverde = ca_barracks_2
	b_castroverde = ca_barracks_3
	b_castroverde = ca_wall_1
	b_castroverde = ca_wall_2
	b_castroverde = ca_keep_1
	b_castroverde = ca_keep_2
	b_castroverde = ca_keep_3
	b_castroverde = ca_militia_barracks_1
	b_castroverde = ca_militia_barracks_2
	b_castroverde = ca_militia_barracks_3
	b_castroverde = ca_training_grounds_1
	b_castroverde = ca_training_grounds_2
	b_castroverde = ca_stable_1
	b_castroverde = ca_stable_2
	b_castroverde = ca_stable_3
	b_castroverde = ca_town_1
	b_castroverde = ca_town_2
	b_castroverde = ca_town_3
	b_castroverde = ca_wall_q_1
	b_castroverde = ca_wall_q_2
	b_castroverde = castle_tower_1
	b_castroverde = castle_tower_2
	b_castroverde = castle_smith_1
	b_castroverde = castle_smith_2
	b_castroverde = stone_mine_1
	b_silves5 = castle
	b_silves5 = ca_barracks_1
	b_silves5 = ca_barracks_2
	b_silves5 = ca_barracks_3
	b_silves5 = ca_wall_1
	b_silves5 = ca_wall_2
	b_silves5 = ca_keep_1
	b_silves5 = ca_keep_2
	b_silves5 = ca_keep_3
	b_silves5 = ca_militia_barracks_1
	b_silves5 = ca_militia_barracks_2
	b_silves5 = ca_militia_barracks_3
	b_silves5 = ca_training_grounds_1
	b_silves5 = ca_training_grounds_2
	b_silves5 = ca_stable_1
	b_silves5 = ca_stable_2
	b_silves5 = ca_stable_3
	b_silves5 = ca_town_1
	b_silves5 = ca_town_2
	b_silves5 = ca_town_3
	b_silves5 = ca_wall_q_1
	b_silves5 = ca_wall_q_2
	b_silves5 = castle_tower_1
	b_silves5 = castle_tower_2
	b_silves5 = castle_smith_1
	b_silves5 = castle_smith_2
	b_silves5 = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_castroverde
	remove_settlement = b_silves5
}

1196.1.1 = { trade_post = b_fieschi }
1305.1.1 = { culture = portuguese }
1305.1.1 = { religion = catholic }
