# -*- ck2.history.provinces -*-

# 171 - Valencia

# County Title
title = c_valencia

# Settlements
max_settlements = 5
b_valencia = castle
b_gandia = city
b_jativa = temple
b_alacuas = castle
#b_cuartdepoblet = castle
#b_alberique = castle
#b_chiva = castle
#b_torrent = castle

# Misc
culture = andalusian_arabic
religion = sunni


# History
1066.1.1 = {
	b_valencia = castle
	b_valencia = ca_barracks_1
	b_valencia = ca_barracks_2
	b_valencia = ca_barracks_3
	b_valencia = ca_barracks_4
	b_valencia = ca_wall_1
	b_valencia = ca_wall_2
	b_valencia = ca_wall_3
	b_valencia = ca_wall_4
	b_valencia = ca_keep_1
	b_valencia = ca_keep_2
	b_valencia = ca_keep_3
	b_valencia = ca_keep_4
	b_valencia = ca_militia_barracks_1
	b_valencia = ca_militia_barracks_2
	b_valencia = ca_militia_barracks_3
	b_valencia = ca_militia_barracks_4
	b_valencia = ca_training_grounds_1
	b_valencia = ca_training_grounds_2
	b_valencia = ca_stable_1
	b_valencia = ca_stable_2
	b_valencia = ca_stable_3
	b_valencia = ca_stable_4
	b_valencia = ca_town_1
	b_valencia = ca_town_2
	b_valencia = ca_town_3
	b_valencia = ca_town_4
	b_alacuas = castle
	b_alacuas = ca_barracks_1
	b_alacuas = ca_barracks_2
	b_alacuas = ca_barracks_3
	b_alacuas = ca_barracks_4
	b_alacuas = ca_wall_1
	b_alacuas = ca_wall_2
	b_alacuas = ca_wall_3
	b_alacuas = ca_wall_4
	b_alacuas = ca_keep_1
	b_alacuas = ca_keep_2
	b_alacuas = ca_keep_3
	b_alacuas = ca_keep_4
	b_alacuas = ca_militia_barracks_1
	b_alacuas = ca_militia_barracks_2
	b_alacuas = ca_militia_barracks_3
	b_alacuas = ca_militia_barracks_4
	b_alacuas = ca_training_grounds_1
	b_alacuas = ca_training_grounds_2
	b_alacuas = ca_stable_1
	b_alacuas = ca_stable_2
	b_alacuas = ca_stable_3
	b_alacuas = ca_stable_4
	b_alacuas = ca_town_1
	b_alacuas = ca_town_2
	b_alacuas = ca_town_3
	b_alacuas = ca_town_4
	b_torrent = castle
	b_torrent = ca_barracks_1
	b_torrent = ca_barracks_2
	b_torrent = ca_barracks_3
	b_torrent = ca_barracks_4
	b_torrent = ca_wall_1
	b_torrent = ca_wall_2
	b_torrent = ca_wall_3
	b_torrent = ca_wall_4
	b_torrent = ca_keep_1
	b_torrent = ca_keep_2
	b_torrent = ca_keep_3
	b_torrent = ca_keep_4
	b_torrent = ca_militia_barracks_1
	b_torrent = ca_militia_barracks_2
	b_torrent = ca_militia_barracks_3
	b_torrent = ca_militia_barracks_4
	b_torrent = ca_training_grounds_1
	b_torrent = ca_training_grounds_2
	b_torrent = ca_stable_1
	b_torrent = ca_stable_2
	b_torrent = ca_stable_3
	b_torrent = ca_stable_4
	b_torrent = ca_town_1
	b_torrent = ca_town_2
	b_torrent = ca_town_3
	b_torrent = ca_town_4
}

1094.1.1 = { culture = castillan }
1094.1.1 = { religion = catholic }
1102.1.1 = { culture = andalusian_arabic }
1102.1.1 = { religion = sunni }
1109.1.1 = { trade_post = b_fieschi }
1251.1.1 = { culture = catalan }
1251.1.1 = { religion = catholic }
