# -*- ck2.history.provinces -*-

# 172 - Castellon

# County Title
title = c_castellon

# Settlements
max_settlements = 4
b_castellon = castle
#b_vinaros = castle
b_burriana = city
b_segorbe = temple
#b_morella = city
#b_nules = temple
#b_vilarreal = city
#b_alcalaten = castle

# Misc
culture = andalusian_arabic
religion = sunni

# History
1066.1.1 = {
	b_castellon = castle
	b_castellon = ca_barracks_1
	b_castellon = ca_barracks_2
	b_castellon = ca_barracks_3
	b_castellon = ca_barracks_4
	b_castellon = ca_wall_1
	b_castellon = ca_wall_2
	b_castellon = ca_wall_3
	b_castellon = ca_wall_4
	b_castellon = ca_keep_1
	b_castellon = ca_keep_2
	b_castellon = ca_keep_3
	b_castellon = ca_keep_4
	b_castellon = ca_militia_barracks_1
	b_castellon = ca_militia_barracks_2
	b_castellon = ca_militia_barracks_3
	b_castellon = ca_militia_barracks_4
	b_castellon = ca_training_grounds_1
	b_castellon = ca_training_grounds_2
	b_castellon = ca_stable_1
	b_castellon = ca_stable_2
	b_castellon = ca_stable_3
	b_castellon = ca_stable_4
	b_castellon = ca_town_1
	b_castellon = ca_town_2
	b_castellon = ca_town_3
	b_castellon = ca_town_4
	b_alcalaten = castle
	b_alcalaten = ca_barracks_1
	b_alcalaten = ca_barracks_2
	b_alcalaten = ca_barracks_3
	b_alcalaten = ca_barracks_4
	b_alcalaten = ca_wall_1
	b_alcalaten = ca_wall_2
	b_alcalaten = ca_wall_3
	b_alcalaten = ca_wall_4
	b_alcalaten = ca_keep_1
	b_alcalaten = ca_keep_2
	b_alcalaten = ca_keep_3
	b_alcalaten = ca_keep_4
	b_alcalaten = ca_militia_barracks_1
	b_alcalaten = ca_militia_barracks_2
	b_alcalaten = ca_militia_barracks_3
	b_alcalaten = ca_militia_barracks_4
	b_alcalaten = ca_training_grounds_1
	b_alcalaten = ca_training_grounds_2
	b_alcalaten = ca_stable_1
	b_alcalaten = ca_stable_2
	b_alcalaten = ca_stable_3
	b_alcalaten = ca_stable_4
	b_alcalaten = ca_town_1
	b_alcalaten = ca_town_2
	b_alcalaten = ca_town_3
	b_alcalaten = ca_town_4
}

1095.1.1 = { trade_post = b_fieschi }
1248.1.1 = { culture = catalan }
1248.1.1 = { religion = catholic }
