# 2179 - Abid
# County Title
title = c_abid

# Settlements
max_settlements = 6 #old 5
b_ouknine = castle
b_egri = castle
b_almak = city

b_orsa = castle
#b_egwara = castle
#b_ammou = castle
#b_esseira = castle
#b_ezguir = castle
# Misc
culture = maghreb_arabic
religion = catholic

# History
399.1.1 = {
	religion = nicene_christian
	culture = roman_african
}
400.1.1 = {
	b_ouknine = tribal
	remove_settlement = b_egri
	remove_settlement = b_almak
	remove_settlement = b_orsa
}
600.1.1 = {
	b_ouknine = castle
	b_egri = castle
	b_almak = city
	b_orsa = castle
}
601.1.1 = {
	religion = catholic
	culture = maghreb_arabic
}
760.1.1={
	religion = sunni
}


# EDITMOD 867
867.1.1 = {
	b_ouknine = castle
	b_ouknine = ca_barracks_1
	b_ouknine = ca_barracks_2
	b_ouknine = ca_wall_1
	b_ouknine = ca_wall_2
	b_ouknine = ca_keep_1
	b_ouknine = ca_keep_2
	b_ouknine = ca_militia_barracks_1
	b_ouknine = ca_militia_barracks_2
	b_ouknine = ca_training_grounds_1
	b_ouknine = ca_training_grounds_2
	b_ouknine = ca_stable_1
	b_ouknine = ca_stable_2
	b_ouknine = ca_town_1
	b_ouknine = ca_town_2
	b_ouknine = ca_wall_q_1
	b_ouknine = castle_tower_1
	b_ouknine = castle_smith_1
	b_ouknine = stone_mine_1
	b_egri = castle
	b_egri = ca_barracks_1
	b_egri = ca_barracks_2
	b_egri = ca_wall_1
	b_egri = ca_wall_2
	b_egri = ca_keep_1
	b_egri = ca_keep_2
	b_egri = ca_militia_barracks_1
	b_egri = ca_militia_barracks_2
	b_egri = ca_training_grounds_1
	b_egri = ca_training_grounds_2
	b_egri = ca_stable_1
	b_egri = ca_stable_2
	b_egri = ca_town_1
	b_egri = ca_town_2
	b_egri = ca_wall_q_1
	b_egri = castle_tower_1
	b_egri = castle_smith_1
	b_egri = stone_mine_1
	b_orsa = castle
	b_orsa = ca_barracks_1
	b_orsa = ca_barracks_2
	b_orsa = ca_wall_1
	b_orsa = ca_wall_2
	b_orsa = ca_keep_1
	b_orsa = ca_keep_2
	b_orsa = ca_militia_barracks_1
	b_orsa = ca_militia_barracks_2
	b_orsa = ca_training_grounds_1
	b_orsa = ca_training_grounds_2
	b_orsa = ca_stable_1
	b_orsa = ca_stable_2
	b_orsa = ca_town_1
	b_orsa = ca_town_2
	b_orsa = ca_wall_q_1
	b_orsa = castle_tower_1
	b_orsa = castle_smith_1
	b_orsa = stone_mine_1
	b_egwara = castle
	b_egwara = ca_barracks_1
	b_egwara = ca_barracks_2
	b_egwara = ca_wall_1
	b_egwara = ca_wall_2
	b_egwara = ca_keep_1
	b_egwara = ca_keep_2
	b_egwara = ca_militia_barracks_1
	b_egwara = ca_militia_barracks_2
	b_egwara = ca_training_grounds_1
	b_egwara = ca_training_grounds_2
	b_egwara = ca_stable_1
	b_egwara = ca_stable_2
	b_egwara = ca_town_1
	b_egwara = ca_town_2
	b_egwara = ca_wall_q_1
	b_egwara = castle_tower_1
	b_egwara = castle_smith_1
	b_egwara = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_egwara
}


# EDITMOD 936
936.1.1 = {
	b_ouknine = castle
	b_ouknine = ca_barracks_1
	b_ouknine = ca_barracks_2
	b_ouknine = ca_wall_1
	b_ouknine = ca_wall_2
	b_ouknine = ca_keep_1
	b_ouknine = ca_keep_2
	b_ouknine = ca_militia_barracks_1
	b_ouknine = ca_militia_barracks_2
	b_ouknine = ca_training_grounds_1
	b_ouknine = ca_training_grounds_2
	b_ouknine = ca_stable_1
	b_ouknine = ca_stable_2
	b_ouknine = ca_town_1
	b_ouknine = ca_town_2
	b_ouknine = ca_wall_q_1
	b_ouknine = castle_tower_1
	b_ouknine = castle_smith_1
	b_ouknine = stone_mine_1
	b_egri = castle
	b_egri = ca_barracks_1
	b_egri = ca_barracks_2
	b_egri = ca_wall_1
	b_egri = ca_wall_2
	b_egri = ca_keep_1
	b_egri = ca_keep_2
	b_egri = ca_militia_barracks_1
	b_egri = ca_militia_barracks_2
	b_egri = ca_training_grounds_1
	b_egri = ca_training_grounds_2
	b_egri = ca_stable_1
	b_egri = ca_stable_2
	b_egri = ca_town_1
	b_egri = ca_town_2
	b_egri = ca_wall_q_1
	b_egri = castle_tower_1
	b_egri = castle_smith_1
	b_egri = stone_mine_1
	b_orsa = castle
	b_orsa = ca_barracks_1
	b_orsa = ca_barracks_2
	b_orsa = ca_wall_1
	b_orsa = ca_wall_2
	b_orsa = ca_keep_1
	b_orsa = ca_keep_2
	b_orsa = ca_militia_barracks_1
	b_orsa = ca_militia_barracks_2
	b_orsa = ca_training_grounds_1
	b_orsa = ca_training_grounds_2
	b_orsa = ca_stable_1
	b_orsa = ca_stable_2
	b_orsa = ca_town_1
	b_orsa = ca_town_2
	b_orsa = ca_wall_q_1
	b_orsa = castle_tower_1
	b_orsa = castle_smith_1
	b_orsa = stone_mine_1
	b_egwara = castle
	b_egwara = ca_barracks_1
	b_egwara = ca_barracks_2
	b_egwara = ca_wall_1
	b_egwara = ca_wall_2
	b_egwara = ca_keep_1
	b_egwara = ca_keep_2
	b_egwara = ca_militia_barracks_1
	b_egwara = ca_militia_barracks_2
	b_egwara = ca_training_grounds_1
	b_egwara = ca_training_grounds_2
	b_egwara = ca_stable_1
	b_egwara = ca_stable_2
	b_egwara = ca_town_1
	b_egwara = ca_town_2
	b_egwara = ca_wall_q_1
	b_egwara = castle_tower_1
	b_egwara = castle_smith_1
	b_egwara = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_egwara
}


# EDITMOD 1066
1066.1.1 = {
	b_ouknine = castle
	b_ouknine = ca_barracks_1
	b_ouknine = ca_barracks_2
	b_ouknine = ca_barracks_3
	b_ouknine = ca_wall_1
	b_ouknine = ca_wall_2
	b_ouknine = ca_keep_1
	b_ouknine = ca_keep_2
	b_ouknine = ca_keep_3
	b_ouknine = ca_militia_barracks_1
	b_ouknine = ca_militia_barracks_2
	b_ouknine = ca_militia_barracks_3
	b_ouknine = ca_training_grounds_1
	b_ouknine = ca_training_grounds_2
	b_ouknine = ca_stable_1
	b_ouknine = ca_stable_2
	b_ouknine = ca_stable_3
	b_ouknine = ca_town_1
	b_ouknine = ca_town_2
	b_ouknine = ca_town_3
	b_ouknine = ca_wall_q_1
	b_ouknine = ca_wall_q_2
	b_ouknine = castle_tower_1
	b_ouknine = castle_smith_1
	b_ouknine = stone_mine_1
	b_egri = castle
	b_egri = ca_barracks_1
	b_egri = ca_barracks_2
	b_egri = ca_barracks_3
	b_egri = ca_wall_1
	b_egri = ca_wall_2
	b_egri = ca_keep_1
	b_egri = ca_keep_2
	b_egri = ca_keep_3
	b_egri = ca_militia_barracks_1
	b_egri = ca_militia_barracks_2
	b_egri = ca_militia_barracks_3
	b_egri = ca_training_grounds_1
	b_egri = ca_training_grounds_2
	b_egri = ca_stable_1
	b_egri = ca_stable_2
	b_egri = ca_stable_3
	b_egri = ca_town_1
	b_egri = ca_town_2
	b_egri = ca_town_3
	b_egri = ca_wall_q_1
	b_egri = ca_wall_q_2
	b_egri = castle_tower_1
	b_egri = castle_smith_1
	b_egri = stone_mine_1
	b_orsa = castle
	b_orsa = ca_barracks_1
	b_orsa = ca_barracks_2
	b_orsa = ca_barracks_3
	b_orsa = ca_wall_1
	b_orsa = ca_wall_2
	b_orsa = ca_keep_1
