# 2176 - Comiso
# County Title
title = c_comiso

# Settlements
max_settlements = 5 #old 4
b_ondenoi = castle
b_ernadelloa = temple
b_esantea = city

#b_ruttinoa = castle
#b_izzarrie = castle
#b_ettinoe = castle
#b_ortolinoa = castle
#b_issonie = castle
# Misc
culture = greek
religion = orthodox
terrain = hills

# History
399.1.1 = {
	religion = hellenic_pagan
	culture = roman_greek
}
601.1.1 = {
	religion = orthodox
	culture = greek
}
874.1.24={ culture = maghreb_arabic religion = sunni }
935.1.1 = { religion = shiite }
1065.1.1 = { religion = sunni }
# EDITMOD 1066
1066.1.1 = {
	b_ondenoi = castle
	b_ondenoi = ca_barracks_1
	b_ondenoi = ca_barracks_2
	b_ondenoi = ca_barracks_3
	b_ondenoi = ca_wall_1
	b_ondenoi = ca_wall_2
	b_ondenoi = ca_keep_1
	b_ondenoi = ca_keep_2
	b_ondenoi = ca_keep_3
	b_ondenoi = ca_militia_barracks_1
	b_ondenoi = ca_militia_barracks_2
	b_ondenoi = ca_militia_barracks_3
	b_ondenoi = ca_training_grounds_1
	b_ondenoi = ca_training_grounds_2
	b_ondenoi = ca_stable_1
	b_ondenoi = ca_stable_2
	b_ondenoi = ca_stable_3
	b_ondenoi = ca_town_1
	b_ondenoi = ca_town_2
	b_ondenoi = ca_town_3
	b_ondenoi = ca_wall_q_1
	b_ondenoi = ca_wall_q_2
	b_ondenoi = castle_tower_1
	b_ondenoi = castle_tower_2
	b_ondenoi = castle_smith_1
	b_ondenoi = castle_smith_2
	b_ondenoi = stone_mine_1
	b_ruttinoa = castle
	b_ruttinoa = ca_barracks_1
	b_ruttinoa = ca_barracks_2
	b_ruttinoa = ca_barracks_3
	b_ruttinoa = ca_wall_1
	b_ruttinoa = ca_wall_2
	b_ruttinoa = ca_keep_1
	b_ruttinoa = ca_keep_2
	b_ruttinoa = ca_keep_3
	b_ruttinoa = ca_militia_barracks_1
	b_ruttinoa = ca_militia_barracks_2
	b_ruttinoa = ca_militia_barracks_3
	b_ruttinoa = ca_training_grounds_1
	b_ruttinoa = ca_training_grounds_2
	b_ruttinoa = ca_stable_1
	b_ruttinoa = ca_stable_2
	b_ruttinoa = ca_stable_3
	b_ruttinoa = ca_town_1
	b_ruttinoa = ca_town_2
	b_ruttinoa = ca_town_3
	b_ruttinoa = ca_wall_q_1
	b_ruttinoa = ca_wall_q_2
	b_ruttinoa = castle_tower_1
	b_ruttinoa = castle_tower_2
	b_ruttinoa = castle_smith_1
	b_ruttinoa = castle_smith_2
	b_ruttinoa = stone_mine_1
	b_izzarrie = castle
	b_izzarrie = ca_barracks_1
	b_izzarrie = ca_barracks_2
	b_izzarrie = ca_barracks_3
	b_izzarrie = ca_wall_1
	b_izzarrie = ca_wall_2
	b_izzarrie = ca_keep_1
	b_izzarrie = ca_keep_2
	b_izzarrie = ca_keep_3
	b_izzarrie = ca_militia_barracks_1
	b_izzarrie = ca_militia_barracks_2
	b_izzarrie = ca_militia_barracks_3
	b_izzarrie = ca_training_grounds_1
	b_izzarrie = ca_training_grounds_2
	b_izzarrie = ca_stable_1
	b_izzarrie = ca_stable_2
	b_izzarrie = ca_stable_3
	b_izzarrie = ca_town_1
	b_izzarrie = ca_town_2
	b_izzarrie = ca_town_3
	b_izzarrie = ca_wall_q_1
	b_izzarrie = ca_wall_q_2
	b_izzarrie = castle_tower_1
	b_izzarrie = castle_tower_2
	b_izzarrie = castle_smith_1
	b_izzarrie = castle_smith_2
	b_izzarrie = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_ruttinoa
	remove_settlement = b_izzarrie
}

1102.1.1={ culture = italian religion = catholic }
