# -*- ck2.history.provinces -*-

# 2007 - Beersheba

# County Title
title = c_beersheba

# Settlements
max_settlements = 3 #old 4
b_beersheba1 = castle
b_beersheba2 = city
#b_beersheba3 = castle
#b_beersheba4 = castle
#b_beersheba5 = temple
#b_beersheba6 = city
#b_beersheba7 = castle

# Misc
culture = levantine_arabic
religion = sunni

# History
200.1.1 = {
	religion = nicene_christian
	culture = assyrian
}
601.1.1 = {
	religion = sunni
	culture = levantine_arabic
}


# EDITMOD 867
867.1.1 = {
	b_beersheba1 = castle
	b_beersheba1 = ca_barracks_1
	b_beersheba1 = ca_barracks_2
	b_beersheba1 = ca_wall_1
	b_beersheba1 = ca_wall_2
	b_beersheba1 = ca_keep_1
	b_beersheba1 = ca_keep_2
	b_beersheba1 = ca_militia_barracks_1
	b_beersheba1 = ca_militia_barracks_2
	b_beersheba1 = ca_training_grounds_1
	b_beersheba1 = ca_training_grounds_2
	b_beersheba1 = ca_stable_1
	b_beersheba1 = ca_stable_2
	b_beersheba1 = ca_town_1
	b_beersheba1 = ca_town_2
	b_beersheba1 = ca_wall_q_1
	b_beersheba1 = castle_tower_1
	b_beersheba1 = castle_smith_1
	b_beersheba1 = stone_mine_1
	#b_beersheba3 = castle
	#b_beersheba3 = ca_barracks_1
	#b_beersheba3 = ca_barracks_2
	#b_beersheba3 = ca_wall_1
	#b_beersheba3 = ca_wall_2
	#b_beersheba3 = ca_keep_1
	#b_beersheba3 = ca_keep_2
	#b_beersheba3 = ca_militia_barracks_1
	#b_beersheba3 = ca_militia_barracks_2
	#b_beersheba3 = ca_training_grounds_1
	#b_beersheba3 = ca_training_grounds_2
	#b_beersheba3 = ca_stable_1
	#b_beersheba3 = ca_stable_2
	#b_beersheba3 = ca_town_1
	#b_beersheba3 = ca_town_2
	#b_beersheba3 = ca_wall_q_1
	#b_beersheba3 = castle_tower_1
	#b_beersheba3 = castle_smith_1
	#b_beersheba3 = stone_mine_1
	#b_beersheba4 = castle
	#b_beersheba4 = ca_barracks_1
	#b_beersheba4 = ca_barracks_2
	#b_beersheba4 = ca_wall_1
	#b_beersheba4 = ca_wall_2
	#b_beersheba4 = ca_keep_1
	#b_beersheba4 = ca_keep_2
	#b_beersheba4 = ca_militia_barracks_1
	#b_beersheba4 = ca_militia_barracks_2
	#b_beersheba4 = ca_training_grounds_1
	#b_beersheba4 = ca_training_grounds_2
	#b_beersheba4 = ca_stable_1
	#b_beersheba4 = ca_stable_2
	#b_beersheba4 = ca_town_1
	#b_beersheba4 = ca_town_2
	#b_beersheba4 = ca_wall_q_1
	#b_beersheba4 = castle_tower_1
	#b_beersheba4 = castle_smith_1
	#b_beersheba4 = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_beersheba4
}


# EDITMOD 936
936.1.1 = {
	b_beersheba1 = castle
	b_beersheba1 = ca_barracks_1
	b_beersheba1 = ca_barracks_2
	b_beersheba1 = ca_wall_1
	b_beersheba1 = ca_wall_2
	b_beersheba1 = ca_keep_1
	b_beersheba1 = ca_keep_2
	b_beersheba1 = ca_militia_barracks_1
	b_beersheba1 = ca_militia_barracks_2
	b_beersheba1 = ca_training_grounds_1
	b_beersheba1 = ca_training_grounds_2
	b_beersheba1 = ca_stable_1
	b_beersheba1 = ca_stable_2
	b_beersheba1 = ca_town_1
	b_beersheba1 = ca_town_2
	b_beersheba1 = ca_wall_q_1
	b_beersheba1 = castle_tower_1
	b_beersheba1 = castle_smith_1
	b_beersheba1 = stone_mine_1
	#b_beersheba3 = castle
	#b_beersheba3 = ca_barracks_1
	#b_beersheba3 = ca_barracks_2
	#b_beersheba3 = ca_wall_1
	#b_beersheba3 = ca_wall_2
	#b_beersheba3 = ca_keep_1
	#b_beersheba3 = ca_keep_2
	#b_beersheba3 = ca_militia_barracks_1
	#b_beersheba3 = ca_militia_barracks_2
	#b_beersheba3 = ca_training_grounds_1
	#b_beersheba3 = ca_training_grounds_2
	#b_beersheba3 = ca_stable_1
	#b_beersheba3 = ca_stable_2
	#b_beersheba3 = ca_town_1
	#b_beersheba3 = ca_town_2
	#b_beersheba3 = ca_wall_q_1
	#b_beersheba3 = castle_tower_1
	#b_beersheba3 = castle_smith_1
	#b_beersheba3 = stone_mine_1
	#b_beersheba4 = castle
	#b_beersheba4 = ca_barracks_1
	#b_beersheba4 = ca_barracks_2
	#b_beersheba4 = ca_wall_1
	#b_beersheba4 = ca_wall_2
	#b_beersheba4 = ca_keep_1
	#b_beersheba4 = ca_keep_2
	#b_beersheba4 = ca_militia_barracks_1
	#b_beersheba4 = ca_militia_barracks_2
	#b_beersheba4 = ca_training_grounds_1
	#b_beersheba4 = ca_training_grounds_2
	#b_beersheba4 = ca_stable_1
	#b_beersheba4 = ca_stable_2
	#b_beersheba4 = ca_town_1
	#b_beersheba4 = ca_town_2
	#b_beersheba4 = ca_wall_q_1
	#b_beersheba4 = castle_tower_1
	#b_beersheba4 = castle_smith_1
	#b_beersheba4 = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_beersheba4
}


# EDITMOD 1066
1066.1.1 = {
	b_beersheba1 = castle
	b_beersheba1 = ca_barracks_1
	b_beersheba1 = ca_barracks_2
	b_beersheba1 = ca_barracks_3
	b_beersheba1 = ca_wall_1
	b_beersheba1 = ca_wall_2
	b_beersheba1 = ca_keep_1
	b_beersheba1 = ca_keep_2
	b_beersheba1 = ca_keep_3
	b_beersheba1 = ca_militia_barracks_1
	b_beersheba1 = ca_militia_barracks_2
	b_beersheba1 = ca_militia_barracks_3
	b_beersheba1 = ca_training_grounds_1
	b_beersheba1 = ca_training_grounds_2
	b_beersheba1 = ca_stable_1
	b_beersheba1 = ca_stable_2
	b_beersheba1 = ca_stable_3
	b_beersheba1 = ca_town_1
	b_beersheba1 = ca_town_2
	b_beersheba1 = ca_town_3
	b_beersheba1 = ca_wall_q_1
	b_beersheba1 = ca_wall_q_2
	b_beersheba1 = castle_tower_1
	b_beersheba1 = castle_smith_1
	b_beersheba1 = stone_mine_1
	#b_beersheba3 = castle
	#b_beersheba3 = ca_barracks_1
	#b_beersheba3 = ca_barracks_2
	#b_beersheba3 = ca_barracks_3
	#b_beersheba3 = ca_wall_1
	#b_beersheba3 = ca_wall_2
	#b_beersheba3 = ca_keep_1
	#b_beersheba3 = ca_keep_2
	#b_beersheba3 = ca_keep_3
	#b_beersheba3 = ca_militia_barracks_1
	#b_beersheba3 = ca_militia_barracks_2
	#b_beersheba3 = ca_militia_barracks_3
	#b_beersheba3 = ca_training_grounds_1
	#b_beersheba3 = ca_training_grounds_2
	#b_beersheba3 = ca_stable_1
	#b_beersheba3 = ca_stable_2
	#b_beersheba3 = ca_stable_3
	#b_beersheba3 = ca_town_1
	#b_beersheba3 = ca_town_2
	#b_beersheba3 = ca_town_3
	#b_beersheba3 = ca_wall_q_1
	#b_beersheba3 = ca_wall_q_2
	#b_beersheba3 = castle_tower_1
	#b_beersheba3 = castle_smith_1
	#b_beersheba3 = stone_mine_1
	#b_beersheba4 = castle
	#b_beersheba4 = ca_barracks_1
	#b_beersheba4 = ca_barracks_2
	#b_beersheba4 = ca_barracks_3
	#b_beersheba4 = ca_wall_1
	#b_beersheba4 = ca_wall_2
	#b_beersheba4 = ca_keep_1
	#b_beersheba4 = ca_keep_2
	#b_beersheba4 = ca_keep_3
	#b_beersheba4 = ca_militia_barracks_1
