# -*- ck2.history.provinces -*-

# 2226 - Seleucia

# County Title
title = c_seleucia

# Settlements
max_settlements = 7 #old 7

b_seleucia1 = castle
b_seleucia2 = temple # holy_site = sunni, nestorian
b_seleucia3 = city
b_seleucia4 = castle
b_seleucia5 = temple
b_seleucia6 = city
b_seleucia7 = city

#Misc
culture = levantine_arabic
religion = sunni
terrain = farmlands

# History
200.1.1 = {
	religion = zoroastrian
	culture = kurdish
}
601.1.1 = {
	religion = sunni
	culture = levantine_arabic
}

#Continuous development of the House of Wisdom is here reflected by the gradual increase in stage
#Several galleries for each branch of science were built by Caliph al_Mamun (813-833)

# EDITMOD 867
867.1.1 = {
	b_seleucia1 = castle
	b_seleucia1 = ca_barracks_1
	b_seleucia1 = ca_barracks_2
	b_seleucia1 = ca_wall_1
	b_seleucia1 = ca_wall_2
	b_seleucia1 = ca_keep_1
	b_seleucia1 = ca_keep_2
	b_seleucia1 = ca_militia_barracks_1
	b_seleucia1 = ca_militia_barracks_2
	b_seleucia1 = ca_training_grounds_1
	b_seleucia1 = ca_training_grounds_2
	b_seleucia1 = ca_stable_1
	b_seleucia1 = ca_stable_2
	b_seleucia1 = ca_town_1
	b_seleucia1 = ca_town_2
	b_seleucia1 = ca_wall_q_1
	b_seleucia1 = castle_tower_1
	b_seleucia1 = castle_smith_1
	b_seleucia1 = stone_mine_1
	b_seleucia4 = castle
	b_seleucia4 = ca_barracks_1
	b_seleucia4 = ca_barracks_2
	b_seleucia4 = ca_wall_1
	b_seleucia4 = ca_wall_2
	b_seleucia4 = ca_keep_1
	b_seleucia4 = ca_keep_2
	b_seleucia4 = ca_militia_barracks_1
	b_seleucia4 = ca_militia_barracks_2
	b_seleucia4 = ca_training_grounds_1
	b_seleucia4 = ca_training_grounds_2
	b_seleucia4 = ca_stable_1
	b_seleucia4 = ca_stable_2
	b_seleucia4 = ca_town_1
	b_seleucia4 = ca_town_2
	b_seleucia4 = ca_wall_q_1
	b_seleucia4 = castle_tower_1
	b_seleucia4 = castle_smith_1
	b_seleucia4 = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
}

# EDITMOD 936
936.1.1 = {
	b_seleucia1 = castle
	b_seleucia1 = ca_barracks_1
	b_seleucia1 = ca_barracks_2
	b_seleucia1 = ca_wall_1
	b_seleucia1 = ca_wall_2
	b_seleucia1 = ca_keep_1
	b_seleucia1 = ca_keep_2
	b_seleucia1 = ca_militia_barracks_1
	b_seleucia1 = ca_militia_barracks_2
	b_seleucia1 = ca_training_grounds_1
	b_seleucia1 = ca_training_grounds_2
	b_seleucia1 = ca_stable_1
	b_seleucia1 = ca_stable_2
	b_seleucia1 = ca_town_1
	b_seleucia1 = ca_town_2
	b_seleucia1 = ca_wall_q_1
	b_seleucia1 = castle_tower_1
	b_seleucia1 = castle_smith_1
	b_seleucia1 = stone_mine_1
	b_seleucia4 = castle
	b_seleucia4 = ca_barracks_1
	b_seleucia4 = ca_barracks_2
	b_seleucia4 = ca_wall_1
	b_seleucia4 = ca_wall_2
	b_seleucia4 = ca_keep_1
	b_seleucia4 = ca_keep_2
	b_seleucia4 = ca_militia_barracks_1
	b_seleucia4 = ca_militia_barracks_2
	b_seleucia4 = ca_training_grounds_1
	b_seleucia4 = ca_training_grounds_2
	b_seleucia4 = ca_stable_1
	b_seleucia4 = ca_stable_2
	b_seleucia4 = ca_town_1
	b_seleucia4 = ca_town_2
	b_seleucia4 = ca_wall_q_1
	b_seleucia4 = castle_tower_1
	b_seleucia4 = castle_smith_1
	b_seleucia4 = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
}

# EDITMOD 1066
1066.1.1 = {
	b_seleucia1 = castle
	b_seleucia1 = ca_barracks_1
	b_seleucia1 = ca_barracks_2
	b_seleucia1 = ca_barracks_3
	b_seleucia1 = ca_wall_1
	b_seleucia1 = ca_wall_2
	b_seleucia1 = ca_keep_1
	b_seleucia1 = ca_keep_2
	b_seleucia1 = ca_keep_3
	b_seleucia1 = ca_militia_barracks_1
	b_seleucia1 = ca_militia_barracks_2
	b_seleucia1 = ca_militia_barracks_3
	b_seleucia1 = ca_training_grounds_1
	b_seleucia1 = ca_training_grounds_2
	b_seleucia1 = ca_stable_1
	b_seleucia1 = ca_stable_2
	b_seleucia1 = ca_stable_3
	b_seleucia1 = ca_town_1
	b_seleucia1 = ca_town_2
	b_seleucia1 = ca_town_3
	b_seleucia1 = ca_wall_q_1
	b_seleucia1 = ca_wall_q_2
	b_seleucia1 = castle_tower_1
	b_seleucia1 = castle_smith_1
	b_seleucia1 = stone_mine_1
	b_seleucia4 = castle
	b_seleucia4 = ca_barracks_1
	b_seleucia4 = ca_barracks_2
	b_seleucia4 = ca_barracks_3
	b_seleucia4 = ca_wall_1
	b_seleucia4 = ca_wall_2
	b_seleucia4 = ca_keep_1
	b_seleucia4 = ca_keep_2
	b_seleucia4 = ca_keep_3
	b_seleucia4 = ca_militia_barracks_1
	b_seleucia4 = ca_militia_barracks_2
	b_seleucia4 = ca_militia_barracks_3
	b_seleucia4 = ca_training_grounds_1
	b_seleucia4 = ca_training_grounds_2
	b_seleucia4 = ca_stable_1
	b_seleucia4 = ca_stable_2
	b_seleucia4 = ca_stable_3
	b_seleucia4 = ca_town_1
	b_seleucia4 = ca_town_2
	b_seleucia4 = ca_town_3
	b_seleucia4 = ca_wall_q_1
	b_seleucia4 = ca_wall_q_2
	b_seleucia4 = castle_tower_1
	b_seleucia4 = castle_smith_1
	b_seleucia4 = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
}

1258.2.20 = { # Failing irrigation system + Mongol invasion
	remove_settlement = b_seleucia5
}
1300.1.1 = { #Uninhabited by early 14th century
	remove_settlement = b_seleucia3
}
