# -*- ck2.history.provinces -*-

# 467 - Split # Cetina

# County Title
title = c_split

# Settlements
max_settlements = 6

b_vrlika = castle
b_solin = castle
b_split = city
b_trogir = temple
#b_sinj = castle
#b_klis = castle
b_sibenik = temple


# Misc
culture = croatian
religion = catholic

# History
400.1.1 = {
	b_vrlika = tribal
	remove_settlement = b_solin
	remove_settlement = b_split
	remove_settlement = b_trogir
	remove_settlement = b_sibenik
}
600.1.1 = {
	b_vrlika = castle
	b_solin = castle
	b_split = city
	b_trogir = temple
	b_sibenik = temple
}

