# -*- ck2.history.provinces -*-

# 688 - Kermanshah (Used to be Al Miqdadiyah)

# County Title
title = c_kermanshah

# Settlements
max_settlements = 5 #old 4
b_kermanshah = castle
b_hulwan = city
b_kangivar = temple
b_mahalkufa = castle

#Misc
culture = persian
religion = sunni

# History
# EDITMOD 867
867.1.1 = {
	b_kermanshah = castle
	b_kermanshah = ca_barracks_1
	b_kermanshah = ca_barracks_2
	b_kermanshah = ca_wall_1
	b_kermanshah = ca_wall_2
	b_kermanshah = ca_keep_1
	b_kermanshah = ca_keep_2
	b_kermanshah = ca_militia_barracks_1
	b_kermanshah = ca_militia_barracks_2
	b_kermanshah = ca_training_grounds_1
	b_kermanshah = ca_training_grounds_2
	b_kermanshah = ca_stable_1
	b_kermanshah = ca_stable_2
	b_kermanshah = ca_town_1
	b_kermanshah = ca_town_2
	b_kermanshah = ca_wall_q_1
	b_kermanshah = castle_tower_1
	b_kermanshah = castle_smith_1
	b_kermanshah = stone_mine_1
	b_mahalkufa = castle
	b_mahalkufa = ca_barracks_1
	b_mahalkufa = ca_barracks_2
	b_mahalkufa = ca_wall_1
	b_mahalkufa = ca_wall_2
	b_mahalkufa = ca_keep_1
	b_mahalkufa = ca_keep_2
	b_mahalkufa = ca_militia_barracks_1
	b_mahalkufa = ca_militia_barracks_2
	b_mahalkufa = ca_training_grounds_1
	b_mahalkufa = ca_training_grounds_2
	b_mahalkufa = ca_stable_1
	b_mahalkufa = ca_stable_2
	b_mahalkufa = ca_town_1
	b_mahalkufa = ca_town_2
	b_mahalkufa = ca_wall_q_1
	b_mahalkufa = castle_tower_1
	b_mahalkufa = castle_smith_1
	b_mahalkufa = stone_mine_1
	b_kermanshah5 = castle
	b_kermanshah5 = ca_barracks_1
	b_kermanshah5 = ca_barracks_2
	b_kermanshah5 = ca_wall_1
	b_kermanshah5 = ca_wall_2
	b_kermanshah5 = ca_keep_1
	b_kermanshah5 = ca_keep_2
	b_kermanshah5 = ca_militia_barracks_1
	b_kermanshah5 = ca_militia_barracks_2
	b_kermanshah5 = ca_training_grounds_1
	b_kermanshah5 = ca_training_grounds_2
	b_kermanshah5 = ca_stable_1
	b_kermanshah5 = ca_stable_2
	b_kermanshah5 = ca_town_1
	b_kermanshah5 = ca_town_2
	b_kermanshah5 = ca_wall_q_1
	b_kermanshah5 = castle_tower_1
	b_kermanshah5 = castle_smith_1
	b_kermanshah5 = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_kermanshah5
}

910.1.1 = {
	culture = kurdish
}
# EDITMOD 936
936.1.1 = {
	b_kermanshah = castle
	b_kermanshah = ca_barracks_1
	b_kermanshah = ca_barracks_2
	b_kermanshah = ca_wall_1
	b_kermanshah = ca_wall_2
	b_kermanshah = ca_keep_1
	b_kermanshah = ca_keep_2
	b_kermanshah = ca_militia_barracks_1
	b_kermanshah = ca_militia_barracks_2
	b_kermanshah = ca_training_grounds_1
	b_kermanshah = ca_training_grounds_2
	b_kermanshah = ca_stable_1
	b_kermanshah = ca_stable_2
	b_kermanshah = ca_town_1
	b_kermanshah = ca_town_2
	b_kermanshah = ca_wall_q_1
	b_kermanshah = castle_tower_1
	b_kermanshah = castle_smith_1
	b_kermanshah = stone_mine_1
	b_mahalkufa = castle
	b_mahalkufa = ca_barracks_1
	b_mahalkufa = ca_barracks_2
	b_mahalkufa = ca_wall_1
	b_mahalkufa = ca_wall_2
	b_mahalkufa = ca_keep_1
	b_mahalkufa = ca_keep_2
	b_mahalkufa = ca_militia_barracks_1
	b_mahalkufa = ca_militia_barracks_2
	b_mahalkufa = ca_training_grounds_1
	b_mahalkufa = ca_training_grounds_2
	b_mahalkufa = ca_stable_1
	b_mahalkufa = ca_stable_2
	b_mahalkufa = ca_town_1
	b_mahalkufa = ca_town_2
	b_mahalkufa = ca_wall_q_1
	b_mahalkufa = castle_tower_1
	b_mahalkufa = castle_smith_1
	b_mahalkufa = stone_mine_1
	b_kermanshah5 = castle
	b_kermanshah5 = ca_barracks_1
	b_kermanshah5 = ca_barracks_2
	b_kermanshah5 = ca_wall_1
	b_kermanshah5 = ca_wall_2
	b_kermanshah5 = ca_keep_1
	b_kermanshah5 = ca_keep_2
	b_kermanshah5 = ca_militia_barracks_1
	b_kermanshah5 = ca_militia_barracks_2
	b_kermanshah5 = ca_training_grounds_1
	b_kermanshah5 = ca_training_grounds_2
	b_kermanshah5 = ca_stable_1
	b_kermanshah5 = ca_stable_2
	b_kermanshah5 = ca_town_1
	b_kermanshah5 = ca_town_2
	b_kermanshah5 = ca_wall_q_1
	b_kermanshah5 = castle_tower_1
	b_kermanshah5 = castle_smith_1
	b_kermanshah5 = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_kermanshah5
}

1049.1.1 = {
	remove_settlement = b_hulwan
}
1220.1.1 = {
	remove_settlement = b_kangivar
}
