# -*- ck2.history.provinces -*-

# 700 - Bira

# County Title
title = c_bira

# Settlements
max_settlements = 5 #old 4
b_nasibin = castle
b_araban = city
b_dara = temple

#b_amuda = castle

#Misc
	culture = assyrian
	religion = nestorian

# History
399.1.1 = {
	religion = zoroastrian
<<<<<<< HEAD
=======
	culture = assyrian
>>>>>>> 486aa99efb99e67cd62b6de36657abd18bc0c75d
}
601.1.1 = {
	religion = nestorian
}

# EDITMOD 867
867.1.1 = {
	b_nasibin = castle
	b_nasibin = ca_barracks_1
	b_nasibin = ca_barracks_2
	b_nasibin = ca_wall_1
	b_nasibin = ca_wall_2
	b_nasibin = ca_keep_1
	b_nasibin = ca_keep_2
	b_nasibin = ca_militia_barracks_1
	b_nasibin = ca_militia_barracks_2
	b_nasibin = ca_training_grounds_1
	b_nasibin = ca_training_grounds_2
	b_nasibin = ca_stable_1
	b_nasibin = ca_stable_2
	b_nasibin = ca_town_1
	b_nasibin = ca_town_2
	b_nasibin = ca_wall_q_1
	b_nasibin = castle_tower_1
	b_nasibin = castle_smith_1
	b_nasibin = stone_mine_1
	b_amuda = castle
	b_amuda = ca_barracks_1
	b_amuda = ca_barracks_2
	b_amuda = ca_wall_1
	b_amuda = ca_wall_2
	b_amuda = ca_keep_1
	b_amuda = ca_keep_2
	b_amuda = ca_militia_barracks_1
	b_amuda = ca_militia_barracks_2
	b_amuda = ca_training_grounds_1
	b_amuda = ca_training_grounds_2
	b_amuda = ca_stable_1
	b_amuda = ca_stable_2
	b_amuda = ca_town_1
	b_amuda = ca_town_2
	b_amuda = ca_wall_q_1
	b_amuda = castle_tower_1
	b_amuda = castle_smith_1
	b_amuda = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_amuda
}

# EDITMOD 936
936.1.1 = {
	b_nasibin = castle
	b_nasibin = ca_barracks_1
	b_nasibin = ca_barracks_2
	b_nasibin = ca_wall_1
	b_nasibin = ca_wall_2
	b_nasibin = ca_keep_1
	b_nasibin = ca_keep_2
	b_nasibin = ca_militia_barracks_1
	b_nasibin = ca_militia_barracks_2
	b_nasibin = ca_training_grounds_1
	b_nasibin = ca_training_grounds_2
	b_nasibin = ca_stable_1
	b_nasibin = ca_stable_2
	b_nasibin = ca_town_1
	b_nasibin = ca_town_2
	b_nasibin = ca_wall_q_1
	b_nasibin = castle_tower_1
	b_nasibin = castle_smith_1
	b_nasibin = stone_mine_1
	b_amuda = castle
	b_amuda = ca_barracks_1
	b_amuda = ca_barracks_2
	b_amuda = ca_wall_1
	b_amuda = ca_wall_2
	b_amuda = ca_keep_1
	b_amuda = ca_keep_2
	b_amuda = ca_militia_barracks_1
	b_amuda = ca_militia_barracks_2
	b_amuda = ca_training_grounds_1
	b_amuda = ca_training_grounds_2
	b_amuda = ca_stable_1
	b_amuda = ca_stable_2
	b_amuda = ca_town_1
	b_amuda = ca_town_2
	b_amuda = ca_wall_q_1
	b_amuda = castle_tower_1
	b_amuda = castle_smith_1
	b_amuda = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_amuda
}

# EDITMOD 1066
1066.1.1 = {
	b_nasibin = castle
	b_nasibin = ca_barracks_1
	b_nasibin = ca_barracks_2
	b_nasibin = ca_barracks_3
	b_nasibin = ca_wall_1
	b_nasibin = ca_wall_2
	b_nasibin = ca_keep_1
	b_nasibin = ca_keep_2
	b_nasibin = ca_keep_3
	b_nasibin = ca_militia_barracks_1
	b_nasibin = ca_militia_barracks_2
	b_nasibin = ca_militia_barracks_3
	b_nasibin = ca_training_grounds_1
	b_nasibin = ca_training_grounds_2
	b_nasibin = ca_stable_1
	b_nasibin = ca_stable_2
	b_nasibin = ca_stable_3
	b_nasibin = ca_town_1
	b_nasibin = ca_town_2
	b_nasibin = ca_town_3
	b_nasibin = ca_wall_q_1
	b_nasibin = ca_wall_q_2
	b_nasibin = castle_tower_1
	b_nasibin = castle_smith_1
	b_nasibin = stone_mine_1
	b_amuda = castle
	b_amuda = ca_barracks_1
	b_amuda = ca_barracks_2
	b_amuda = ca_barracks_3
	b_amuda = ca_wall_1
	b_amuda = ca_wall_2
	b_amuda = ca_keep_1
	b_amuda = ca_keep_2
	b_amuda = ca_keep_3
	b_amuda = ca_militia_barracks_1
	b_amuda = ca_militia_barracks_2
	b_amuda = ca_militia_barracks_3
	b_amuda = ca_training_grounds_1
	b_amuda = ca_training_grounds_2
	b_amuda = ca_stable_1
	b_amuda = ca_stable_2
	b_amuda = ca_stable_3
	b_amuda = ca_town_1
	b_amuda = ca_town_2
	b_amuda = ca_town_3
	b_amuda = ca_wall_q_1
	b_amuda = ca_wall_q_2
	b_amuda = castle_tower_1
	b_amuda = castle_smith_1
	b_amuda = stone_mine_1
	b_bira5 = castle
	b_bira5 = ca_barracks_1
	b_bira5 = ca_barracks_2
	b_bira5 = ca_barracks_3
	b_bira5 = ca_wall_1
	b_bira5 = ca_wall_2
	b_bira5 = ca_keep_1
	b_bira5 = ca_keep_2
	b_bira5 = ca_keep_3
	b_bira5 = ca_militia_barracks_1
	b_bira5 = ca_militia_barracks_2
	b_bira5 = ca_militia_barracks_3
	b_bira5 = ca_training_grounds_1
	b_bira5 = ca_training_grounds_2
	b_bira5 = ca_stable_1
	b_bira5 = ca_stable_2
	b_bira5 = ca_stable_3
	b_bira5 = ca_town_1
	b_bira5 = ca_town_2
	b_bira5 = ca_town_3
	b_bira5 = ca_wall_q_1
	b_bira5 = ca_wall_q_2
	b_bira5 = castle_tower_1
	b_bira5 = castle_smith_1
	b_bira5 = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_amuda
	remove_settlement = b_bira5
}

1070.1.1 = { 
	culture = levantine_arabic
	religion = sunni
}
