# -*- ck2.history.provinces -*-

# 708 - Tell Bashir

# County Title
title = c_tell_bashir

# Settlements
max_settlements = 4
b_turbessel = castle
b_kyrrhos = temple
b_nizip = city
#b_trihalet = castle


# Misc
culture = assyrian
religion = syriac

# History
1030.1.1 = { 
	culture = levantine_arabic
}
1066.1.1 = {
	b_turbessel = castle
	b_turbessel = ca_barracks_1
	b_turbessel = ca_barracks_2
	b_turbessel = ca_barracks_3
	b_turbessel = ca_barracks_4
	b_turbessel = ca_wall_1
	b_turbessel = ca_wall_2
	b_turbessel = ca_wall_3
	b_turbessel = ca_wall_4
	b_turbessel = ca_keep_1
	b_turbessel = ca_keep_2
	b_turbessel = ca_keep_3
	b_turbessel = ca_keep_4
	b_turbessel = ca_militia_barracks_1
	b_turbessel = ca_militia_barracks_2
	b_turbessel = ca_militia_barracks_3
	b_turbessel = ca_militia_barracks_4
	b_turbessel = ca_training_grounds_1
	b_turbessel = ca_training_grounds_2
	b_turbessel = ca_stable_1
	b_turbessel = ca_stable_2
	b_turbessel = ca_stable_3
	b_turbessel = ca_stable_4
	b_turbessel = ca_town_1
	b_turbessel = ca_town_2
	b_turbessel = ca_town_3
	b_turbessel = ca_town_4
	b_trihalet = castle
	b_trihalet = ca_barracks_1
	b_trihalet = ca_barracks_2
	b_trihalet = ca_barracks_3
	b_trihalet = ca_barracks_4
	b_trihalet = ca_wall_1
	b_trihalet = ca_wall_2
	b_trihalet = ca_wall_3
	b_trihalet = ca_wall_4
	b_trihalet = ca_keep_1
	b_trihalet = ca_keep_2
	b_trihalet = ca_keep_3
	b_trihalet = ca_keep_4
	b_trihalet = ca_militia_barracks_1
	b_trihalet = ca_militia_barracks_2
	b_trihalet = ca_militia_barracks_3
	b_trihalet = ca_militia_barracks_4
	b_trihalet = ca_training_grounds_1
	b_trihalet = ca_training_grounds_2
	b_trihalet = ca_stable_1
	b_trihalet = ca_stable_2
	b_trihalet = ca_stable_3
	b_trihalet = ca_stable_4
	b_trihalet = ca_town_1
	b_trihalet = ca_town_2
	b_trihalet = ca_town_3
	b_trihalet = ca_town_4
}

1070.1.1 = { religion = sunni }

