# -*- ck2.history.provinces -*-

# 714 - Az Zarqa
# reused as Azraq
# County Title
title = c_az_zarqa

# Settlements
max_settlements = 4 #old 4

b_amrah = tribal
b_azraq = city
#b_kharana = castle
#b_tuba = castle
#b_mshatta = castle
#b_amratamad = city

#

# Misc
culture = bedouin_arabic
religion = sunni

# History
399.1.1 = {
	religion = nicene_christian
	culture = roman
}
601.1.1 = {
	religion = sunni
	culture = bedouin_arabic
}


# EDITMOD 867
867.1.1 = {
	b_amrah = castle
	b_amrah = ca_barracks_1
	b_amrah = ca_barracks_2
	b_amrah = ca_wall_1
	b_amrah = ca_wall_2
	b_amrah = ca_keep_1
	b_amrah = ca_keep_2
	b_amrah = ca_militia_barracks_1
	b_amrah = ca_militia_barracks_2
	b_amrah = ca_training_grounds_1
	b_amrah = ca_training_grounds_2
	b_amrah = ca_stable_1
	b_amrah = ca_stable_2
	b_amrah = ca_town_1
	b_amrah = ca_town_2
	b_amrah = ca_wall_q_1
	b_amrah = castle_tower_1
	b_amrah = castle_smith_1
	b_amrah = stone_mine_1
	b_amratamad = castle
	b_amratamad = ca_barracks_1
	b_amratamad = ca_barracks_2
	b_amratamad = ca_wall_1
	b_amratamad = ca_wall_2
	b_amratamad = ca_keep_1
	b_amratamad = ca_keep_2
	b_amratamad = ca_militia_barracks_1
	b_amratamad = ca_militia_barracks_2
	b_amratamad = ca_training_grounds_1
	b_amratamad = ca_training_grounds_2
	b_amratamad = ca_stable_1
	b_amratamad = ca_stable_2
	b_amratamad = ca_town_1
	b_amratamad = ca_town_2
	b_amratamad = ca_wall_q_1
	b_amratamad = castle_tower_1
	b_amratamad = castle_smith_1
	b_amratamad = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_amratamad
}


# EDITMOD 936
936.1.1 = {
	b_amrah = castle
	b_amrah = ca_barracks_1
	b_amrah = ca_barracks_2
	b_amrah = ca_wall_1
	b_amrah = ca_wall_2
	b_amrah = ca_keep_1
	b_amrah = ca_keep_2
	b_amrah = ca_militia_barracks_1
	b_amrah = ca_militia_barracks_2
	b_amrah = ca_training_grounds_1
	b_amrah = ca_training_grounds_2
	b_amrah = ca_stable_1
	b_amrah = ca_stable_2
	b_amrah = ca_town_1
	b_amrah = ca_town_2
	b_amrah = ca_wall_q_1
	b_amrah = castle_tower_1
	b_amrah = castle_smith_1
	b_amrah = stone_mine_1
	b_amratamad = castle
	b_amratamad = ca_barracks_1
	b_amratamad = ca_barracks_2
	b_amratamad = ca_wall_1
	b_amratamad = ca_wall_2
	b_amratamad = ca_keep_1
	b_amratamad = ca_keep_2
	b_amratamad = ca_militia_barracks_1
	b_amratamad = ca_militia_barracks_2
	b_amratamad = ca_training_grounds_1
	b_amratamad = ca_training_grounds_2
	b_amratamad = ca_stable_1
	b_amratamad = ca_stable_2
	b_amratamad = ca_town_1
	b_amratamad = ca_town_2
	b_amratamad = ca_wall_q_1
	b_amratamad = castle_tower_1
	b_amratamad = castle_smith_1
	b_amratamad = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_amratamad
}


# EDITMOD 1066
1066.1.1 = {
	b_amrah = castle
	b_amrah = ca_barracks_1
	b_amrah = ca_barracks_2
	b_amrah = ca_barracks_3
	b_amrah = ca_wall_1
	b_amrah = ca_wall_2
	b_amrah = ca_keep_1
	b_amrah = ca_keep_2
	b_amrah = ca_keep_3
	b_amrah = ca_militia_barracks_1
	b_amrah = ca_militia_barracks_2
	b_amrah = ca_militia_barracks_3
	b_amrah = ca_training_grounds_1
	b_amrah = ca_training_grounds_2
	b_amrah = ca_stable_1
	b_amrah = ca_stable_2
	b_amrah = ca_stable_3
	b_amrah = ca_town_1
	b_amrah = ca_town_2
	b_amrah = ca_town_3
	b_amrah = ca_wall_q_1
	b_amrah = ca_wall_q_2
	b_amrah = castle_tower_1
	b_amrah = castle_smith_1
	b_amrah = stone_mine_1
	b_amratamad = castle
	b_amratamad = ca_barracks_1
	b_amratamad = ca_barracks_2
	b_amratamad = ca_barracks_3
	b_amratamad = ca_wall_1
	b_amratamad = ca_wall_2
	b_amratamad = ca_keep_1
	b_amratamad = ca_keep_2
	b_amratamad = ca_keep_3
	b_amratamad = ca_militia_barracks_1
	b_amratamad = ca_militia_barracks_2
	b_amratamad = ca_militia_barracks_3
	b_amratamad = ca_training_grounds_1
	b_amratamad = ca_training_grounds_2
	b_amratamad = ca_stable_1
	b_amratamad = ca_stable_2
	b_amratamad = ca_stable_3
	b_amratamad = ca_town_1
	b_amratamad = ca_town_2
	b_amratamad = ca_town_3
	b_amratamad = ca_wall_q_1
	b_amratamad = ca_wall_q_2
	b_amratamad = castle_tower_1
	b_amratamad = castle_smith_1
	b_amratamad = stone_mine_1
	b_kharana = castle
	b_kharana = ca_barracks_1
	b_kharana = ca_barracks_2
	b_kharana = ca_barracks_3
	b_kharana = ca_wall_1
	b_kharana = ca_wall_2
	b_kharana = ca_keep_1
	b_kharana = ca_keep_2
	b_kharana = ca_keep_3
	b_kharana = ca_militia_barracks_1
	b_kharana = ca_militia_barracks_2
	b_kharana = ca_militia_barracks_3
	b_kharana = ca_training_grounds_1
	b_kharana = ca_training_grounds_2
	b_kharana = ca_stable_1
	b_kharana = ca_stable_2
	b_kharana = ca_stable_3
	b_kharana = ca_town_1
	b_kharana = ca_town_2
	b_kharana = ca_town_3
	b_kharana = ca_wall_q_1
	b_kharana = ca_wall_q_2
	b_kharana = castle_tower_1
	b_kharana = castle_smith_1
	b_kharana = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_amratamad
	remove_settlement = b_kharana
}
