# -*- ck2.history.provinces -*-

# 773 - Tiberias

# County Title
title = c_tiberias

# Settlements
max_settlements = 6 #old 5

b_belvoir = castle
b_tiberias = city
b_sepphoria = castle
b_nazareth = temple
#b_forbelet = castle
#b_cavedesueth = city


#b_mnttabor = temple 
#b_hattin = city




# Misc
culture = levantine_arabic
religion = orthodox

# History
399.1.1 = {
	religion = nicene_christian
	culture = roman
}
601.1.1 = {
	religion = orthodox
	culture = levantine_arabic
}


# EDITMOD 867
867.1.1 = {
	b_belvoir = castle
	b_belvoir = ca_barracks_1
	b_belvoir = ca_barracks_2
	b_belvoir = ca_wall_1
	b_belvoir = ca_wall_2
	b_belvoir = ca_keep_1
	b_belvoir = ca_keep_2
	b_belvoir = ca_militia_barracks_1
	b_belvoir = ca_militia_barracks_2
	b_belvoir = ca_training_grounds_1
	b_belvoir = ca_training_grounds_2
	b_belvoir = ca_stable_1
	b_belvoir = ca_stable_2
	b_belvoir = ca_town_1
	b_belvoir = ca_town_2
	b_belvoir = ca_wall_q_1
	b_belvoir = castle_tower_1
	b_belvoir = castle_smith_1
	b_belvoir = stone_mine_1
	b_sepphoria = castle
	b_sepphoria = ca_barracks_1
	b_sepphoria = ca_barracks_2
	b_sepphoria = ca_wall_1
	b_sepphoria = ca_wall_2
	b_sepphoria = ca_keep_1
	b_sepphoria = ca_keep_2
	b_sepphoria = ca_militia_barracks_1
	b_sepphoria = ca_militia_barracks_2
	b_sepphoria = ca_training_grounds_1
	b_sepphoria = ca_training_grounds_2
	b_sepphoria = ca_stable_1
	b_sepphoria = ca_stable_2
	b_sepphoria = ca_town_1
	b_sepphoria = ca_town_2
	b_sepphoria = ca_wall_q_1
	b_sepphoria = castle_tower_1
	b_sepphoria = castle_smith_1
	b_sepphoria = stone_mine_1
	b_cavedesueth = castle
	b_cavedesueth = ca_barracks_1
	b_cavedesueth = ca_barracks_2
	b_cavedesueth = ca_wall_1
	b_cavedesueth = ca_wall_2
	b_cavedesueth = ca_keep_1
	b_cavedesueth = ca_keep_2
	b_cavedesueth = ca_militia_barracks_1
	b_cavedesueth = ca_militia_barracks_2
	b_cavedesueth = ca_training_grounds_1
	b_cavedesueth = ca_training_grounds_2
	b_cavedesueth = ca_stable_1
	b_cavedesueth = ca_stable_2
	b_cavedesueth = ca_town_1
	b_cavedesueth = ca_town_2
	b_cavedesueth = ca_wall_q_1
	b_cavedesueth = castle_tower_1
	b_cavedesueth = castle_smith_1
	b_cavedesueth = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_cavedesueth
}

# EDITMOD 936
936.1.1 = {
	b_belvoir = castle
	b_belvoir = ca_barracks_1
	b_belvoir = ca_barracks_2
	b_belvoir = ca_wall_1
	b_belvoir = ca_wall_2
	b_belvoir = ca_keep_1
	b_belvoir = ca_keep_2
	b_belvoir = ca_militia_barracks_1
	b_belvoir = ca_militia_barracks_2
	b_belvoir = ca_training_grounds_1
	b_belvoir = ca_training_grounds_2
	b_belvoir = ca_stable_1
	b_belvoir = ca_stable_2
	b_belvoir = ca_town_1
	b_belvoir = ca_town_2
	b_belvoir = ca_wall_q_1
	b_belvoir = castle_tower_1
	b_belvoir = castle_smith_1
	b_belvoir = stone_mine_1
	b_sepphoria = castle
	b_sepphoria = ca_barracks_1
	b_sepphoria = ca_barracks_2
	b_sepphoria = ca_wall_1
	b_sepphoria = ca_wall_2
	b_sepphoria = ca_keep_1
	b_sepphoria = ca_keep_2
	b_sepphoria = ca_militia_barracks_1
	b_sepphoria = ca_militia_barracks_2
	b_sepphoria = ca_training_grounds_1
	b_sepphoria = ca_training_grounds_2
	b_sepphoria = ca_stable_1
	b_sepphoria = ca_stable_2
	b_sepphoria = ca_town_1
	b_sepphoria = ca_town_2
	b_sepphoria = ca_wall_q_1
	b_sepphoria = castle_tower_1
	b_sepphoria = castle_smith_1
	b_sepphoria = stone_mine_1
	b_cavedesueth = castle
	b_cavedesueth = ca_barracks_1
	b_cavedesueth = ca_barracks_2
	b_cavedesueth = ca_wall_1
	b_cavedesueth = ca_wall_2
	b_cavedesueth = ca_keep_1
	b_cavedesueth = ca_keep_2
	b_cavedesueth = ca_militia_barracks_1
	b_cavedesueth = ca_militia_barracks_2
	b_cavedesueth = ca_training_grounds_1
	b_cavedesueth = ca_training_grounds_2
	b_cavedesueth = ca_stable_1
	b_cavedesueth = ca_stable_2
	b_cavedesueth = ca_town_1
	b_cavedesueth = ca_town_2
	b_cavedesueth = ca_wall_q_1
	b_cavedesueth = castle_tower_1
	b_cavedesueth = castle_smith_1
	b_cavedesueth = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_cavedesueth
}

# EDITMOD 1066
1066.1.1 = {
	b_belvoir = castle
	b_belvoir = ca_barracks_1
	b_belvoir = ca_barracks_2
	b_belvoir = ca_barracks_3
	b_belvoir = ca_wall_1
	b_belvoir = ca_wall_2
	b_belvoir = ca_keep_1
	b_belvoir = ca_keep_2
	b_belvoir = ca_keep_3
	b_belvoir = ca_militia_barracks_1
	b_belvoir = ca_militia_barracks_2
	b_belvoir = ca_militia_barracks_3
	b_belvoir = ca_training_grounds_1
	b_belvoir = ca_training_grounds_2
	b_belvoir = ca_stable_1
	b_belvoir = ca_stable_2
	b_belvoir = ca_stable_3
	b_belvoir = ca_town_1
	b_belvoir = ca_town_2
	b_belvoir = ca_town_3
	b_belvoir = ca_wall_q_1
	b_belvoir = ca_wall_q_2
	b_belvoir = castle_tower_1
	b_belvoir = castle_smith_1
	b_belvoir = stone_mine_1
	b_sepphoria = castle
	b_sepphoria = ca_barracks_1
	b_sepphoria = ca_barracks_2
	b_sepphoria = ca_barracks_3
	b_sepphoria = ca_wall_1
	b_sepphoria = ca_wall_2
	b_sepphoria = ca_keep_1
	b_sepphoria = ca_keep_2
	b_sepphoria = ca_keep_3
	b_sepphoria = ca_militia_barracks_1
	b_sepphoria = ca_militia_barracks_2
	b_sepphoria = ca_militia_barracks_3
	b_sepphoria = ca_training_grounds_1
	b_sepphoria = ca_training_grounds_2
	b_sepphoria = ca_stable_1
	b_sepphoria = ca_stable_2
	b_sepphoria = ca_stable_3
	b_sepphoria = ca_town_1
	b_sepphoria = ca_town_2
	b_sepphoria = ca_town_3
	b_sepphoria = ca_wall_q_1
	b_sepphoria = ca_wall_q_2
	b_sepphoria = castle_tower_1
	b_sepphoria = castle_smith_1
	b_sepphoria = stone_mine_1
	b_cavedesueth = castle
	b_cavedesueth = ca_barracks_1
	b_cavedesueth = ca_barracks_2
	b_cavedesueth = ca_barracks_3
	b_cavedesueth = ca_wall_1
	b_cavedesueth = ca_wall_2
	b_cavedesueth = ca_keep_1
	b_cavedesueth = ca_keep_2
	b_cavedesueth = ca_keep_3
	b_cavedesueth = ca_militia_barracks_1
	b_cavedesueth = ca_militia_barracks_2
	b_cavedesueth = ca_militia_barracks_3
	b_cavedesueth = ca_training_grounds_1
	b_cavedesueth = ca_training_grounds_2
	b_cavedesueth = ca_stable_1
	b_cavedesueth = ca_stable_2
	b_cavedesueth = ca_stable_3
	b_cavedesueth = ca_town_1
	b_cavedesueth = ca_town_2
	b_cavedesueth = ca_town_3
	b_cavedesueth = ca_wall_q_1
	b_cavedesueth = ca_wall_q_2
	b_cavedesueth = castle_tower_1
	b_cavedesueth = castle_smith_1
	b_cavedesueth = stone_mine_1
	b_mnttabor = castle
