# -*- ck2.history.provinces -*-

# 778 - Monreal

# County Title
title = c_monreal

# Settlements
max_settlements = 4 #old 4
b_monreal = castle
b_petra = temple
b_syrsegor = city
#b_alwuayra = castle
#b_wadi_musa = city
#b_alhabis = castle




# Misc
culture = levantine_arabic
religion = sunni

# History
399.1.1 = {
	religion = nicene_christian
	culture = old_arabic
}
601.1.1 = {
	religion = sunni
	culture = levantine_arabic
}
# EDITMOD 867
867.1.1 = {
	b_monreal = castle
	b_monreal = ca_barracks_1
	b_monreal = ca_barracks_2
	b_monreal = ca_wall_1
	b_monreal = ca_wall_2
	b_monreal = ca_keep_1
	b_monreal = ca_keep_2
	b_monreal = ca_militia_barracks_1
	b_monreal = ca_militia_barracks_2
	b_monreal = ca_training_grounds_1
	b_monreal = ca_training_grounds_2
	b_monreal = ca_stable_1
	b_monreal = ca_stable_2
	b_monreal = ca_town_1
	b_monreal = ca_town_2
	b_monreal = ca_wall_q_1
	b_monreal = castle_tower_1
	b_monreal = castle_smith_1
	b_monreal = stone_mine_1
	b_alwuayra = castle
	b_alwuayra = ca_barracks_1
	b_alwuayra = ca_barracks_2
	b_alwuayra = ca_wall_1
	b_alwuayra = ca_wall_2
	b_alwuayra = ca_keep_1
	b_alwuayra = ca_keep_2
	b_alwuayra = ca_militia_barracks_1
	b_alwuayra = ca_militia_barracks_2
	b_alwuayra = ca_training_grounds_1
	b_alwuayra = ca_training_grounds_2
	b_alwuayra = ca_stable_1
	b_alwuayra = ca_stable_2
	b_alwuayra = ca_town_1
	b_alwuayra = ca_town_2
	b_alwuayra = ca_wall_q_1
	b_alwuayra = castle_tower_1
	b_alwuayra = castle_smith_1
	b_alwuayra = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_alwuayra
}

# EDITMOD 936
936.1.1 = {
	b_monreal = castle
	b_monreal = ca_barracks_1
	b_monreal = ca_barracks_2
	b_monreal = ca_wall_1
	b_monreal = ca_wall_2
	b_monreal = ca_keep_1
	b_monreal = ca_keep_2
	b_monreal = ca_militia_barracks_1
	b_monreal = ca_militia_barracks_2
	b_monreal = ca_training_grounds_1
	b_monreal = ca_training_grounds_2
	b_monreal = ca_stable_1
	b_monreal = ca_stable_2
	b_monreal = ca_town_1
	b_monreal = ca_town_2
	b_monreal = ca_wall_q_1
	b_monreal = castle_tower_1
	b_monreal = castle_smith_1
	b_monreal = stone_mine_1
	b_alwuayra = castle
	b_alwuayra = ca_barracks_1
	b_alwuayra = ca_barracks_2
	b_alwuayra = ca_wall_1
	b_alwuayra = ca_wall_2
	b_alwuayra = ca_keep_1
	b_alwuayra = ca_keep_2
	b_alwuayra = ca_militia_barracks_1
	b_alwuayra = ca_militia_barracks_2
	b_alwuayra = ca_training_grounds_1
	b_alwuayra = ca_training_grounds_2
	b_alwuayra = ca_stable_1
	b_alwuayra = ca_stable_2
	b_alwuayra = ca_town_1
	b_alwuayra = ca_town_2
	b_alwuayra = ca_wall_q_1
	b_alwuayra = castle_tower_1
	b_alwuayra = castle_smith_1
	b_alwuayra = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_alwuayra
}

974.1.1 = { remove_settlement = b_syrsegor culture = bedouin_arabic } #Tribalisation/Nomadization of al-Urdunn
974.1.1 = { b_monreal = tribal } #Tribalisation/Nomadization of al-Urdunn
# EDITMOD 1066
1066.1.1 = {
	b_monreal = castle
	b_monreal = ca_barracks_1
	b_monreal = ca_barracks_2
	b_monreal = ca_barracks_3
	b_monreal = ca_wall_1
	b_monreal = ca_wall_2
	b_monreal = ca_keep_1
	b_monreal = ca_keep_2
	b_monreal = ca_keep_3
	b_monreal = ca_militia_barracks_1
	b_monreal = ca_militia_barracks_2
	b_monreal = ca_militia_barracks_3
	b_monreal = ca_training_grounds_1
	b_monreal = ca_training_grounds_2
	b_monreal = ca_stable_1
	b_monreal = ca_stable_2
	b_monreal = ca_stable_3
	b_monreal = ca_town_1
	b_monreal = ca_town_2
	b_monreal = ca_town_3
	b_monreal = ca_wall_q_1
	b_monreal = ca_wall_q_2
	b_monreal = castle_tower_1
	b_monreal = castle_smith_1
	b_monreal = stone_mine_1
	b_syrsegor = castle
	b_syrsegor = ca_barracks_1
	b_syrsegor = ca_barracks_2
	b_syrsegor = ca_barracks_3
	b_syrsegor = ca_wall_1
	b_syrsegor = ca_wall_2
	b_syrsegor = ca_keep_1
	b_syrsegor = ca_keep_2
	b_syrsegor = ca_keep_3
	b_syrsegor = ca_militia_barracks_1
	b_syrsegor = ca_militia_barracks_2
	b_syrsegor = ca_militia_barracks_3
	b_syrsegor = ca_training_grounds_1
	b_syrsegor = ca_training_grounds_2
	b_syrsegor = ca_stable_1
	b_syrsegor = ca_stable_2
	b_syrsegor = ca_stable_3
	b_syrsegor = ca_town_1
	b_syrsegor = ca_town_2
	b_syrsegor = ca_town_3
	b_syrsegor = ca_wall_q_1
	b_syrsegor = ca_wall_q_2
	b_syrsegor = castle_tower_1
	b_syrsegor = castle_smith_1
	b_syrsegor = stone_mine_1
	b_alwuayra = castle
	b_alwuayra = ca_barracks_1
	b_alwuayra = ca_barracks_2
	b_alwuayra = ca_barracks_3
	b_alwuayra = ca_wall_1
	b_alwuayra = ca_wall_2
	b_alwuayra = ca_keep_1
	b_alwuayra = ca_keep_2
	b_alwuayra = ca_keep_3
	b_alwuayra = ca_militia_barracks_1
	b_alwuayra = ca_militia_barracks_2
	b_alwuayra = ca_militia_barracks_3
	b_alwuayra = ca_training_grounds_1
	b_alwuayra = ca_training_grounds_2
	b_alwuayra = ca_stable_1
	b_alwuayra = ca_stable_2
	b_alwuayra = ca_stable_3
	b_alwuayra = ca_town_1
	b_alwuayra = ca_town_2
	b_alwuayra = ca_town_3
	b_alwuayra = ca_wall_q_1
	b_alwuayra = ca_wall_q_2
	b_alwuayra = castle_tower_1
	b_alwuayra = castle_smith_1
	b_alwuayra = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_syrsegor
	remove_settlement = b_alwuayra
}

1115.1.1 = { b_syrsegor = city } #Crusader Conquest
1115.1.1 = { b_monreal = castle } #Crusader Conquest
1120.1.1 = { b_alwuayra = castle }
1187.10.2 = { b_monreal = tribal } #Falls to the Ayyubids
1187.10.2 = { remove_settlement = b_syrsegor } #Falls to the Ayyubids
1187.10.2 = { remove_settlement = b_alwuayra } #Falls to the Ayyubids
1250.5.2 = { b_monreal = castle }
1309.1.1 = { b_monreal = tribal } 
