# -*- ck2.history.provinces -*-

# 823 - Biskra

# County Title
title = c_biskra

# Settlements
max_settlements = 4

b_biskra = castle
b_badis = temple
#b_sidiokba = temple #unclear when the site became a sizeable settlement

b_ourlel = city
#b_tehouda = castle
#b_bigou = temple
#b_nebka = castle
#b_mekhadma = castle
#b_branis = castle

# Misc
culture = sanhaja
religion = sunni

# History
#1066.1.1 = { remove_settlement = b_biskra }
1057.1.1 = { b_biskra = tribal }
#1057.1.1 = { remove_settlement = b_tehouda } #the site likely continued to be inhabited
1066.1.1 = {
	b_biskra = castle
	b_biskra = ca_barracks_1
	b_biskra = ca_barracks_2
	b_biskra = ca_barracks_3
	b_biskra = ca_barracks_4
	b_biskra = ca_wall_1
	b_biskra = ca_wall_2
	b_biskra = ca_wall_3
	b_biskra = ca_wall_4
	b_biskra = ca_keep_1
	b_biskra = ca_keep_2
	b_biskra = ca_keep_3
	b_biskra = ca_keep_4
	b_biskra = ca_militia_barracks_1
	b_biskra = ca_militia_barracks_2
	b_biskra = ca_militia_barracks_3
	b_biskra = ca_militia_barracks_4
	b_biskra = ca_training_grounds_1
	b_biskra = ca_training_grounds_2
	b_biskra = ca_stable_1
	b_biskra = ca_stable_2
	b_biskra = ca_stable_3
	b_biskra = ca_stable_4
	b_biskra = ca_town_1
	b_biskra = ca_town_2
	b_biskra = ca_town_3
	b_biskra = ca_town_4
	b_branis = castle
	b_branis = ca_barracks_1
	b_branis = ca_barracks_2
	b_branis = ca_barracks_3
	b_branis = ca_barracks_4
	b_branis = ca_wall_1
	b_branis = ca_wall_2
	b_branis = ca_wall_3
	b_branis = ca_wall_4
	b_branis = ca_keep_1
	b_branis = ca_keep_2
	b_branis = ca_keep_3
	b_branis = ca_keep_4
	b_branis = ca_militia_barracks_1
	b_branis = ca_militia_barracks_2
	b_branis = ca_militia_barracks_3
	b_branis = ca_militia_barracks_4
	b_branis = ca_training_grounds_1
	b_branis = ca_training_grounds_2
	b_branis = ca_stable_1
	b_branis = ca_stable_2
	b_branis = ca_stable_3
	b_branis = ca_stable_4
	b_branis = ca_town_1
	b_branis = ca_town_2
	b_branis = ca_town_3
	b_branis = ca_town_4
}

1152.1.1 = { b_biskra = castle }
1152.1.1 = { b_sidiokba = temple } #recorded as such by Ibn Khaldun
