# -*- ck2.history.provinces -*-

# 831 - Al Djazair

# County Title
title = c_al_djazair

# Settlements
max_settlements = 6 #old 6

b_sharshal = castle
#b_algiers = castle
#b_miliana = temple
b_blida = city #Mitija

#b_elachour = castle
#b_aintorki = castle

#b_aindefla = temple
#b_tipasa = city
#b_chiffa = temple
#b_rhedadoua = castle
#b_tirourda = castle
#b_elRdair = castle

# Misc
culture = sanhaja
religion = sunni

# History
399.1.1 = {
	religion = nicene_christian
	culture = roman_mauretanian
}
400.1.1 = {
	b_sharshal = tribal
	remove_settlement = b_blida
}
600.1.1 = {
	b_sharshal = castle
	b_blida = #Mitija
}
601.1.1 = {
	religion = sunni
	culture = sanhaja
}

# EDITMOD 867
867.1.1 = {
	b_sharshal = castle
	b_sharshal = ca_barracks_1
	b_sharshal = ca_barracks_2
	b_sharshal = ca_wall_1
	b_sharshal = ca_wall_2
	b_sharshal = ca_keep_1
	b_sharshal = ca_keep_2
	b_sharshal = ca_militia_barracks_1
	b_sharshal = ca_militia_barracks_2
	b_sharshal = ca_training_grounds_1
	b_sharshal = ca_training_grounds_2
	b_sharshal = ca_stable_1
	b_sharshal = ca_stable_2
	b_sharshal = ca_town_1
	b_sharshal = ca_town_2
	b_sharshal = ca_wall_q_1
	b_sharshal = castle_tower_1
	b_sharshal = castle_smith_1
	b_sharshal = stone_mine_1
	b_algiers = castle
	b_algiers = ca_barracks_1
	b_algiers = ca_barracks_2
	b_algiers = ca_wall_1
	b_algiers = ca_wall_2
	b_algiers = ca_keep_1
	b_algiers = ca_keep_2
	b_algiers = ca_militia_barracks_1
	b_algiers = ca_militia_barracks_2
	b_algiers = ca_training_grounds_1
	b_algiers = ca_training_grounds_2
	b_algiers = ca_stable_1
	b_algiers = ca_stable_2
	b_algiers = ca_town_1
	b_algiers = ca_town_2
	b_algiers = ca_wall_q_1
	b_algiers = castle_tower_1
	b_algiers = castle_smith_1
	b_algiers = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_algiers
}

930.1.1 = {
	b_algiers = castle
	capital = b_algiers
}
# EDITMOD 936
936.1.1 = {
	b_sharshal = castle
	b_sharshal = ca_barracks_1
	b_sharshal = ca_barracks_2
	b_sharshal = ca_wall_1
	b_sharshal = ca_wall_2
	b_sharshal = ca_keep_1
	b_sharshal = ca_keep_2
	b_sharshal = ca_militia_barracks_1
	b_sharshal = ca_militia_barracks_2
	b_sharshal = ca_training_grounds_1
	b_sharshal = ca_training_grounds_2
	b_sharshal = ca_stable_1
	b_sharshal = ca_stable_2
	b_sharshal = ca_town_1
	b_sharshal = ca_town_2
	b_sharshal = ca_wall_q_1
	b_sharshal = castle_tower_1
	b_sharshal = castle_smith_1
	b_sharshal = stone_mine_1
	b_algiers = castle
	b_algiers = ca_barracks_1
	b_algiers = ca_barracks_2
	b_algiers = ca_wall_1
	b_algiers = ca_wall_2
	b_algiers = ca_keep_1
	b_algiers = ca_keep_2
	b_algiers = ca_militia_barracks_1
	b_algiers = ca_militia_barracks_2
	b_algiers = ca_training_grounds_1
	b_algiers = ca_training_grounds_2
	b_algiers = ca_stable_1
	b_algiers = ca_stable_2
	b_algiers = ca_town_1
	b_algiers = ca_town_2
	b_algiers = ca_wall_q_1
	b_algiers = castle_tower_1
	b_algiers = castle_smith_1
	b_algiers = stone_mine_1
	b_miliana = castle
	b_miliana = ca_barracks_1
	b_miliana = ca_barracks_2
	b_miliana = ca_wall_1
	b_miliana = ca_wall_2
	b_miliana = ca_keep_1
	b_miliana = ca_keep_2
	b_miliana = ca_militia_barracks_1
	b_miliana = ca_militia_barracks_2
	b_miliana = ca_training_grounds_1
	b_miliana = ca_training_grounds_2
	b_miliana = ca_stable_1
	b_miliana = ca_stable_2
	b_miliana = ca_town_1
	b_miliana = ca_town_2
	b_miliana = ca_wall_q_1
	b_miliana = castle_tower_1
	b_miliana = castle_smith_1
	b_miliana = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_miliana
}

950.1.1 = { b_miliana = temple } #foundation attributed to Ziri b. Manad
#1187.1.1 = { b_elachour = castle }
# EDITMOD 1066
1066.1.1 = {
	b_sharshal = castle
	b_sharshal = ca_barracks_1
	b_sharshal = ca_barracks_2
	b_sharshal = ca_barracks_3
	b_sharshal = ca_wall_1
	b_sharshal = ca_wall_2
	b_sharshal = ca_keep_1
	b_sharshal = ca_keep_2
	b_sharshal = ca_keep_3
	b_sharshal = ca_militia_barracks_1
	b_sharshal = ca_militia_barracks_2
	b_sharshal = ca_militia_barracks_3
	b_sharshal = ca_training_grounds_1
	b_sharshal = ca_training_grounds_2
	b_sharshal = ca_stable_1
	b_sharshal = ca_stable_2
	b_sharshal = ca_stable_3
	b_sharshal = ca_town_1
	b_sharshal = ca_town_2
	b_sharshal = ca_town_3
	b_sharshal = ca_wall_q_1
	b_sharshal = ca_wall_q_2
	b_sharshal = castle_tower_1
	b_sharshal = castle_smith_1
	b_sharshal = stone_mine_1
	b_algiers = castle
	b_algiers = ca_barracks_1
	b_algiers = ca_barracks_2
	b_algiers = ca_barracks_3
	b_algiers = ca_wall_1
	b_algiers = ca_wall_2
	b_algiers = ca_keep_1
	b_algiers = ca_keep_2
	b_algiers = ca_keep_3
	b_algiers = ca_militia_barracks_1
	b_algiers = ca_militia_barracks_2
	b_algiers = ca_militia_barracks_3
	b_algiers = ca_training_grounds_1
	b_algiers = ca_training_grounds_2
	b_algiers = ca_stable_1
	b_algiers = ca_stable_2
	b_algiers = ca_stable_3
	b_algiers = ca_town_1
	b_algiers = ca_town_2
	b_algiers = ca_town_3
	b_algiers = ca_wall_q_1
	b_algiers = ca_wall_q_2
	b_algiers = castle_tower_1
	b_algiers = castle_smith_1
	b_algiers = stone_mine_1
	b_elachour = castle
	b_elachour = ca_barracks_1
	b_elachour = ca_barracks_2
	b_elachour = ca_barracks_3
	b_elachour = ca_wall_1
	b_elachour = ca_wall_2
	b_elachour = ca_keep_1
	b_elachour = ca_keep_2
	b_elachour = ca_keep_3
	b_elachour = ca_militia_barracks_1
	b_elachour = ca_militia_barracks_2
	b_elachour = ca_militia_barracks_3
	b_elachour = ca_training_grounds_1
	b_elachour = ca_training_grounds_2
	b_elachour = ca_stable_1
	b_elachour = ca_stable_2
	b_elachour = ca_stable_3
	b_elachour = ca_town_1
	b_elachour = ca_town_2
	b_elachour = ca_town_3
	b_elachour = ca_wall_q_1
	b_elachour = ca_wall_q_2
	b_elachour = castle_tower_1
	b_elachour = castle_smith_1
	b_elachour = stone_mine_1
	b_aintorki = castle
	b_aintorki = ca_barracks_1
	b_aintorki = ca_barracks_2
	b_aintorki = ca_barracks_3
	b_aintorki = ca_wall_1
	b_aintorki = ca_wall_2
	b_aintorki = ca_keep_1
	b_aintorki = ca_keep_2
	b_aintorki = ca_keep_3
	b_aintorki = ca_militia_barracks_1
	b_aintorki = ca_militia_barracks_2
	b_aintorki = ca_militia_barracks_3
	b_aintorki = ca_training_grounds_1
	b_aintorki = ca_training_grounds_2
	b_aintorki = ca_stable_1
	b_aintorki = ca_stable_2
	b_aintorki = ca_stable_3
	b_aintorki = ca_town_1
	b_aintorki = ca_town_2
	b_aintorki = ca_town_3
	b_aintorki = ca_wall_q_1
	b_aintorki = ca_wall_q_2
	b_aintorki = castle_tower_1
	b_aintorki = castle_smith_1
	b_aintorki = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
