byz_dejure_desc;It is time to take bake lands that were once lost during unstable times. The Imperial borders shall be restored!;;;;;;;;;;;;;x
enforce_danegeld_cb;Enforce Danegeld;;;;;;;;;;;;;x
enforce_danegeld_cb_desc;By enforcing the Danegeld we get payed what we would normally have to raid for, saving us many precious warriors.;;;;;;;;;;;;;x
CB_DANEGELD;Enforce the Danegeld;;;;;;;;;;;;;x
WAR_DANEGELD;War to make $DEFENDER$ pay the Danegeld;;;;;;;;;;;;;x
TRIBUTARY_DANEGELD_TRIBUTE;Heregeld;;;;;;;;;;;;;x
CB_NAME_SHATTER_HRE;Shatter the Holy Roman Empire.;;;;;;;;;;;;;x
shatter_hre_cb_desc;An end shall finally be brought to the heretical empire of the Germans! They claim to Holy and Roman while they lack both qualities. We shall liberate them from their idiotic Kaiser and bring forth our own true Holy nature to the seamingly barbaric peoples of Germania. ;;;;;;;;;;;;;x
WAR_NAME_SHATTER_HRE;War to dismantle the Holy Roman Empire;;;;;;;;;;;;;x

illkhanate_special_cb_desc;The Illkhanate has the need to reach deeper into the rich lands of the west of Eurasia and Africa to consolidate more power.;;;;;;;;;;;;;x
CB_NAME_ILLKHANATE_INVASION;Illkhanate Invasion of [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_ILLKHANATE_INVASION;Invasion of the Illkhanate for $OTHER_TITLE$;;;;;;;;;;;;;x

golden_horde_special_cb_desc;The Golden Horde has the need to reach deeper into the rich lands of the west of Eurasia and Africa to consolidate more power.;;;;;;;;;;;;;x
CB_GOLDEN_HORDE_NAME_INVASION;Golden Horde Invasion of [Title.GetBaseName];;;;;;;;;;;;;x
WAR_GOLDEN_HORDE_NAME_INVASION;Invasion of the Golden Horde for $OTHER_TITLE$;;;;;;;;;;;;;x

timurids_special_cb_desc;The Timurids has the need to reach deeper into the rich lands of Persia and India to consolidate more power.;;;;;;;;;;;;;x
CB_NAME_TIMURDS_INVASION;Timurid Invasion of [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_TIMURIDS_INVASION;Invasion of the Timurids for $OTHER_TITLE$;;;;;;;;;;;;;x

mongol_empire_special_cb_desc;The Mongol Empire has the need to reach deeper into the rich lands of Europe and Asia to consolidate more power.;;;;;;;;;;;;;x
CB_NAME_MONGOL_EMPIRE_INVASION;Mongol Invasion of [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_MONGOL_EMPIRE_INVASION;Invasion of the Mongol Empire for $OTHER_TITLE$;;;;;;;;;;;;;x
