ARNAME107;The Conflict of the 7 Kings;;;;;;;;;;;x
ARDESC107;Ever since the local Anglo Saxon tribes have settled on the island, there has always been tensions with eachother. This has been reinforced ever since the Roman Empire lost their grip on Britania. This made the local tribes very ambitious and wanting to get more control and power. Only time will tell who will come out to be the strongest;;;;;;;;;;;x

ARNAME108;The Rise of Islam;;;;;;;;;;;x
ARDESC108;After the consolidation of Arabia and the death of the Holy Prophet Muhammed. The Rashudin Caliphate have decided to spread messengers all across the Middle East to offer rulers to convert to Islam. When these requests got refused, it was figured to conquer their teritories to clense them from their heretical belives while also securing more power and wealth to further solidify the Empire. Who knows how far this new Empire will go. No one will know, only God knows.;;;;;;;;;;;x

sahaba;Important Islamic Person;;;;;;;;;;;x
sahaba_desc;This character is a important person in Islam that lived during the time of the Prophet Muhammad.;;;;;;;;;;;x

rashudin_overextention;Overextention of the Caliphate;;;;;;;;;;;x
rashudin_overextention_desc;After the many conquests and reaching the peak of the Caliphate, it left this massive empire quite exhausted which could lead problems. Armies cannot simply be everywhere at once, which proves to be a problem since the Caliphate stretched from Spain all the way to Persia;;;;;;;;;;;x

spannish_raids;Hispanian Instability;;;;;;;;;;;x
spannish_raids_desc;After the Islamic Conquest of Hispania, the Caliphate was not able to fully assert their dominance in the Peninsula. This allowed the Spannish to break out of the grasp of the Caliphate. Beides that, bordering Catholic realms have made it harder as well, from Embargoing the Caliphate to going as far as raiding caravans and having a hostile attitude. While also having Religious Instability, we are suffering from the occupation of Hispania;;;;;;;;;;;x




