creator_carthage;Punic Blood of [This.Founder.GetFirstNameWithNick];;;;;;;;;;;;;x
creator_carthage_desc;This character has reestablished the Carthaginian Empire.;;;;;;;;;;;;;x

unified_arabia;Blood of the Arabs;;;;;;;;;;;;;x
unified_arabia_desc;This character has united the Arabian tribes to rival the mighty Eastern Roman Empire;;;;;;;;;;;;;x

unified_germania;Blood of the Germans;;;;;;;;;;;;;x
unified_germania_desc;This character has united the Germanic tribes to rival the mighty Western Roman Empire;;;;;;;;;;;;;x

creator_francia;Frankish Blood of [This.Founder.GetFirstNameWithNick];;;;;;;;;;;;;x
creator_francia_desc;This character has created the Kingdom of Francia and started the dynasty of "de Merohingi".;;;;;;;;;;;;;x

visigothic_blood;Visigothic Blood;;;;;;;;;;;;;x
visigothic_blood_desc;This character has restored Visigothic Spain by his genius and ambition to restore their place back into what they have lost;;;;;;;;;;;;;x

ostrogothic_blood;Ostrogothic Blood;;;;;;;;;;;;;x
ostrogothic_blood_desc;This character has restored Ostrogothic Italy by his genius and ambition to restore their place back into what they have lost;;;;;;;;;;;;;x

russia_imperial_bloodline;Russian Imperial Blood;;;;;;;;;;;;;x
russia_imperial_bloodline_desc;This character is a descendant of a great Emperor that has united Russia under one Dynasty;;;;;;;;;;;;;x

bloodline_kurdish;Blood of the Saladin;;;;;;;;;;;;;x
bloodline_kurdish_desc;The Blood of the mighty sultan of the Ayyubids;;;;;;;;;;;;;x

bloodline_angevin;Blood of Angevin;;;;;;;;;;;;;x
bloodline_angevin_desc;This Character has unified France under England and formed the Dual Monarchy of the Angevins;;;;;;;;;;;;;x

add_to_bloodline; Inherit the Blood of Salladin;;;;;;;;;;;;;x
add_to_bloodline_desc; You are now worthy enough to have this bloodline;;;;;;;;;;;;;x

jihad_sultan_blood;Jihad Blood of [This.GetTitledFirstName];;;;;;;;;;;;;x
jihad_sultan_blood_desc;[This.GetSheHeCap] is known as the Sultan of the first Jihader Sultan of [This.PrimaryTitle.GetBaseName]. A just ruler who fought and bled for the faith.;;;;;;;;;;;;;x

bloodline_roman;Blood of the Odyssey;;;;;;;;;;;x
bloodline_roman_desc;This Roman had earned the right to be their Augustus of Elysia and to lead their fellow Romans back to Europe;;;;;;;;;;;x

