gov_duchy_roman_ar;[Liege.PrimaryTitle.GetAdjective] Proconsulate;;;;;;;;;;;;;;x;
gov_king_roman_ar;[Liege.PrimaryTitle.GetAdjective] Province;;;;;;;;;;;;;;x;

gov_muslim_caliphate;Muslim Caliphate;;;;;;;;;;;;;;x;

gov_confederation;Federation;;;;;;;;;;;;;;x;
gov_pirate;Pirate [Liege.PrimaryTitle.GetAdjective];;;;;;;;;;;;;;x;
gov_warrior_order;Military Order;;;;;;;;;;;;;;x;
gov_hereditary_zoro;Satrap [PrimaryTitle.GetTier] of Zoroaster;;;;;;;;;;x
gov_mercenaries;Mercenary Company;;;;;;;;;;;;;;x;

;;;;;;;;;;;;;;;
caliphate_government;Caliphate;;;;;;;;;;;;;x;
caliphate_government_desc;A caliphate is an institution or public office under the leadership of an Islamic steward with the title of caliph, a person considered a political-religious successor to the Islamic prophet Muhammad and a leader of the entire Muslim world.;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;;
ar_rebel_government;Rebelious Realm;;;;;;;;;;;;;x;
ar_rebel_government_desc;This is a realm that is currently in a rebelious war against their Liege. The reason usualy envolves the Liege being Tyrranical.;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;;
ar_mercenary_government;Mercenary Band;;;;;;;;;;;;;x;
ar_mercenary_government_desc;A Mercenary Band is a group of people that banded together and offer themselfs to conflicts for personal profit to whoever has the coin. Mercenaries fight for money or other forms of payment rather than for political interests. Running out of coin is not a smart idea as these Mercenaries will find ways to be compensated one way or the other.;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;;
warrior_order_government;Military Order;;;;;;;;;;;;;x;
warrior_order_government_desc;A military order is a society based purely of knights and warriors. The original military orders were the Knights Templar, the Knights Hospitaller, the Order of the Holy Sepulchre, the Order of Saint James, the Order of Calatrava, and the Teutonic Knights. They arose in the Middle Ages in the Holy Land, the Baltics, and the Iberian peninsula. The purpose of these orders could be small things like to help the helpless, but it could also be more cruel goals in the name of religion or even for power.All the while living a military and religious life which is ideal for those that do not wish to abandon the way of a knight and return to normal life.;;;;;;;;;;;;;x;
;;;;;;;;;;;;;;;
satrap_government;Persian Satrapy;;;;;;;;;;;;;x;
satrap_government_desc;"A satrap was a provincial governor in the ancient Persian Empire, particularly during the Achaemenid dynasty. The term ""satrap"" derives from the Old Persian khshathrapavan, meaning ""protector of the realm."" These governors were appointed by the king to oversee specific regions called satrapies, which functioned as administrative and taxation units.";;;;;;;;;;;;;x;
