
rome_crisis_help_2;The Fading Phoenix;;;;;;;;;x
rome_crisis_help_2_desc;As the Western Roman Empire is decaying, its time is soon coming to an end. Your vassals and proconsuls are sympathetic for now, but their kindness could turn into ambitions anytime and turn on the Empire.;;;;;;;;;x

release_tributary_cooldown;Administrative Exhaustion;;;;;;;;;x
release_tributary_cooldown_desc;This character got exhausted from managing their tributaries.;;;;;;;;;x

river_nile;The River Nile;;;;;;;;;x
river_nile_desc;This River has been giving Egypt its life and fertility troughout history and has been very important for whoever holds these lands and this river.;;;;;;;;;x

dragon_remains;Skeleton of a Dragon;;;;;;;;;x
dragon_remains_desc;This character has traveled far and long and found himself a skeleton of a real dragon. Its clearly a dragon, based of the comparison to pictures of the myths and folklore about this monster.;;;;;;;;;x

dinosaur_remains;Skeleton of a Unknown Beast;;;;;;;;;x
dinosaur_remains_desc;This character has traveled far and long and found himself a skeleton of a unusually colossal animal.;;;;;;;;;x

title_knight_muslim;Faris;;;;;;;;;x
title_knight_muslim_desc;the Fursan are men that trained since their childhood to become well-respected and well skilled with especially horseriding and hold an oath to their ruler.;;;;;;;;;x

title_knight;Knight;;;;;;;;;x
title_knight_desc;Knights are men that trained since their childhood to become well-respected and well skilled with the art of dueling and hold an oath to their ruler.;;;;;;;;;x

title_kouropalates_modifier;Kouropalates;;;;;;;;;x
title_kouropalates_modifier_desc;This character is the Kouropalates of the realm they reside.;;;;;;;;;x

title_teacher_modifier;Court Teacher;;;;;;;;;x
title_teacher_modifier_desc;This character is the Court Teacher of the realm they reside.;;;;;;;;;x

title_court_physician_modifier;Court Physician;;;;;;;;;x
title_court_physician_modifier_desc;This character is the Court Physician of the realm they reside.;;;;;;;;;x

title_state_inquisitor_modifier;State Inquisitor;;;;;;;;;x
title_state_inquisitor_modifier_desc;This character is the State Inquisitor of the realm they reside.;;;;;;;;;x

title_high_admiral;High Admiral;;;;;;;;;x
title_high_admiral_desc;This character is High Admiral of the Republic they reside.;;;;;;;;;x

title_high_judge;High Judge;;;;;;;;;x
title_high_judge_desc;This character is the High Judge of the realm they reside.;;;;;;;;;x

title_chief_qadi_modifier;Chief Qadi;;;;;;;;;x
title_chief_qadi_modifier_desc;This character is the Qadi of the realm they reside.;;;;;;;;;x

title_chief_architect_modifier;Master of Architect;;;;;;;;;x
title_chief_architect_modifier_desc;This character is the Master of Architect of the realm they reside.;;;;;;;;;x

title_court_calligrapher;Court Calligrapher;;;;;;;;;x
title_court_calligrapher_desc;This character is the Court Calligrapher of the realm they reside.;;;;;;;;;x

title_despot_modifier;Ceasar of the Realm;;;;;;;;;x
title_despot_modifier_desc;This character has the title of Ceasar of the realm they reside.;;;;;;;;;x

title_despot_modifier;Imperial Sebastokrator;;;;;;;;;x
title_despot_modifier_desc;This character is the Sebastokrator of the realm they reside.;;;;;;;;;x

title_despot_modifier;Imperial Despot;;;;;;;;;x
title_despot_modifier_desc;This character is the Despot of the realm they reside.;;;;;;;;;x

title_seneschal_modifier;Seneschal of the Realm;;;;;;;;;x
title_seneschal_modifier_desc;This character is the Seneschal of the realm they reside.;;;;;;;;;x

title_high_almoner_modifier;High Almoner;;;;;;;;;x
title_high_almoner_modifier_desc;This character is the High Almoner of the realm they reside.;;;;;;;;;x

title_master_of_the_hunt_modifier;Master of the Hunt;;;;;;;;;x
title_master_of_the_hunt_modifier_desc;This character is the Hunt Master of the realm they reside.;;;;;;;;;x

title_master_of_the_horse_modifier;Master of the Horse;;;;;;;;;x
title_master_of_the_horse_modifier_desc;This character is the Keeper of the Horse of the realm they reside.;;;;;;;;;x

title_keeper_of_swans_modifier;Master of Swans;;;;;;;;;x
title_keeper_of_swans_modifier_desc;This character is the Keeper of the Swans of the realm they reside.;;;;;;;;;x

title_court_eunuch_modifier;Court Eunuch;;;;;;;;;x
title_court_eunuch_modifier_desc;This character is a Court Eunuch of the realm they reside.;;;;;;;;;x

title_regent_modifier;Regent of the Realm;;;;;;;;;x
title_regent_modifier_desc;This character is the Regent of the realm they reside.;;;;;;;;;x

title_commander_modifier;Army Commander;;;;;;;;;x
title_commander_modifier_desc;This character is a Commander of an army.;;;;;;;;;x

job_chancellor_modifier;Chancellor of the Realm;;;;;;;;;x
job_chancellor_modifier_desc;This character is currently the Chancellor of the realm of its liege.;;;;;;;;;x

job_marshal_modifier;Marshal of the Realm;;;;;;;;;x
job_marshal_modifier_desc;This character is currently the Marshal of the realm of its liege.;;;;;;;;;x

job_treasurer_modifier;Steward of the Realm;;;;;;;;;x
job_treasurer_modifier_desc;This character is currently the Steward of the realm of its liege.;;;;;;;;;x

job_spymaster_modifier;Spymaster of the Realm;;;;;;;;;x
job_spymaster_modifier_desc;This character is currently the Spymaster of the realm of its liege.;;;;;;;;;x

job_spiritual_modifier;Chaplain of the Realm;;;;;;;;;x
job_spiritual_modifier_desc;This character is currently the Chaplain of the realm of its liege.;;;;;;;;;x

roman_bathhouse_private;Private Roman Bathhouse;;;;;;;;;x
roman_bathhouse_public;Public Roman Bathhouse;;;;;;;;;x
roman_bathhouse_private_desc;This character has built a Roman Bathhouse for the purpose for using it for himself and his close ones.;;;;;;;;;x
roman_bathhouse_public_desc;This character has built a Roman Bathhouse for the purpose to make some gold by letting anyone with coin use it.;;;;;;;;;x

reward_mod_rome;Plundered Riches from the Holy Roman Empire;;;;;;;;;x
reward_mod_rome_desc;The riches that are brought by your solders were filled with various items, from weaponry to valuables that will be very usefull for future wars;;;;;;;;;x

coallition_expelled_2;Exhausted Ruler;;;;;;;;;x
coallition_expelled_2_desc;This Character has recently tried to fight a ruler that has make a bad name for himself and is known to be Infamous. However, this character has failed to defeat this ruler and had to surrender his arms and is affraid of anymore retaliation for now...;;;;;;;;;x

