monastic_order_ibadi;Order of the Imams;;;;;;;;;;;;;x
monastic_order_ibadi_desc;This order of Imams within the Ibadi sect of Islam has functioned since the time of Ibad to maintain the Ibadi's clerical sovereignty. ;;;;;;;;;;;;;x
monastic_order_ibadi_leader_desc;The Imam is a very holy person in charge of the entire society.;;;;;;;;;;;;;x
monastic_order_ibadi_rank_1_male;Believer;;;;;;;;;;;;;x
monastic_order_ibadi_rank_2_male;Sheikh;;;;;;;;;;;;;x
monastic_order_ibadi_rank_3_male;Ulama;;;;;;;;;;;;;x
monastic_order_ibadi_rank_4_male;Imam;;;;;;;;;;;;;x
monastic_order_ibadi_rank_1_female;Believer;;;;;;;;;;;;;x
monastic_order_ibadi_rank_2_female;Sheikh;;;;;;;;;;;;;x
monastic_order_ibadi_rank_3_female;Ulama;;;;;;;;;;;;;x
monastic_order_ibadi_rank_4_female;Imam;;;;;;;;;;;;;x
currency_name_monastic_order_ibadi;Faith;;;;;;;;;;;;;x

pages_zoro_cooldown;Attempted to search Zoroastrian Pages;;;;;;;;;x
pages_zoro_cooldown_desc;This character attempted to search for the Zoroastrian Pages;;;;;;;;;x


merchant_leauge;The Merchant League;;;;;;;;;;;;;x
merchant_leauge_desc;This is a league consisting of merchants and moneylenders that are working together to try controling the economy trough their knowledge and wealth. As a member of the Merchant League you are willing to dive deeper about the ways of the economy and trade.;;;;;;;;;;;;x
merchant_leauge_leader_desc;The Grand Merchant is someone that knows the arts of the trade very well and has been an icon within the league for a while.;;;;;;;;;;;;;x
merchant_leauge_rank_1_male;Novice;;;;;;;;;;;;;x
merchant_leauge_rank_2_male;Trader;;;;;;;;;;;;;x
merchant_leauge_rank_3_male;Merchant;;;;;;;;;;;;;x
merchant_leauge_rank_4_male;Grand Merchant;;;;;;;;;;;;;x

merchant_leauge_rank_1_female;Novice;;;;;;;;;;;;;x
merchant_leauge_rank_2_female;Trader;;;;;;;;;;;;;x
merchant_leauge_rank_3_female;Merchant;;;;;;;;;;;;;x
merchant_leauge_rank_4_female;Grand Merchant;;;;;;;;;;;;;x
