client_state_cb_unlocked;The Client State CB are now unlocked;;;;;;;;;;;;;x
annex_tributary_unlocked;You are now able to annex Tributaries;;;;;;;;;;;;;x
release_tributary_unlocked;You are now able to establish Tributaries from your vassals;;;;;;;;;;;;;x

succ_nerf_unlocked;The Primogeniture, Ultimogeniture, Tanistry and the Sengiority laws are now unlocked;;;;;;;;;;;;;x

warrior_order_laws;§RLaw of the Order§!;;;;;;;;;;;;;x
warrior_order_laws_desc;As a military order, we need law and order too. With this law, we decide how our standing army will be set up. Either we can choose to call upon our Army of the Order, or to have a standing Retinue Army.;;;;;;;;;;;;;x

warrior_order_laws_0;Call;;;;;;;;;;;;;x
warrior_order_laws_1;Standing;;;;;;;;;;;;;x

warrior_order_laws_0_desc;The Order will call upon the Army of the Order during a war.;;;;;;;;;;;;;x
warrior_order_laws_1_desc;The Order will be able to create a standing retinue army, ready at any moment.;;;;;;;;;;;;;x

tsardom_imperial_laws;§PTsardom Reform§!;;;;;;;;;;;;;x
tsardom_imperial_laws_desc;As we are using the old ways of Roman Governance, we have been lacking behind with the other Feudal realms that are governing their realm much more efficient. These reforms will assure that we stabilize the Empire much more.;;;;;;;;;;;;;x

tsardom_imperial_laws_0;None;;;;;;;;;;;;;x
tsardom_imperial_laws_1;Marginal;;;;;;;;;;;;;x
tsardom_imperial_laws_2;Full;;;;;;;;;;;;;x

tsardom_imperial_laws_0_desc;No reforms have been implemented.;;;;;;;;;;;;;x
tsardom_imperial_laws_1_desc;Marginal reforms have been implemented as an attempt to solve the problems of the Empire.;;;;;;;;;;;;;x
tsardom_imperial_laws_2_desc;Full-fledged reforms have been implemented to completly solve the problems of the Empire.;;;;;;;;;;;;;x

roman_imperial_laws;§PImperial Reform§!;;;;;;;;;;;;;x
roman_imperial_laws_desc;As we are using the old ways of Roman Governance, we have been lacking behind with the other Feudal realms that are governing their realm much more efficient. These reforms will assure that we stabilize the Empire much more.;;;;;;;;;;;;;x

roman_imperial_laws_0;None;;;;;;;;;;;;;x
roman_imperial_laws_1;Marginal;;;;;;;;;;;;;x
roman_imperial_laws_2;Full;;;;;;;;;;;;;x

roman_imperial_laws_0_desc;No reforms have been implemented.;;;;;;;;;;;;;x
roman_imperial_laws_1_desc;Marginal reforms have been implemented as an attempt to solve the problems of the Empire.;;;;;;;;;;;;;x
roman_imperial_laws_2_desc;Full-fledged reforms have been implemented to completly solve the problems of the Empire.;;;;;;;;;;;;;x

hre_realm_laws;§RHoly Imperial Reform§!;;;;;;;;;;;;;x
hre_realm_laws_desc;The Holy Roman Empire is a complex machine which has a complex way of governance which is close to impossible. Any other realm would drown in the bureaucracy of this magnitude. These reforms will assure that we stabilize the Holy Roman Empire a little more, making it at least more comprehensible to rule these lands.;;;;;;;;;;;;;x

hre_realm_laws_0;None;;;;;;;;;;;;;x
hre_realm_laws_1;Marginal;;;;;;;;;;;;;x
hre_realm_laws_2;Full;;;;;;;;;;;;;x

hre_realm_laws_0_desc;No reforms have been implemented.;;;;;;;;;;;;;x
hre_realm_laws_1_desc;Marginal reforms have been implemented as an attempt to solve the problems of the Holy Roman Empire.;;;;;;;;;;;;;x
hre_realm_laws_2_desc;Full-fledged reforms have been implemented to completly solve the problems of the Holy Roman Empire.;;;;;;;;;;;;;x

france_appanage_laws;§BFrench Centralisation§!;;;;;;;;;;;;;x
france_appanage_laws_vassal;§BAppanage Expansion§!;;;;;;;;;;;;;x

france_appanage_laws_desc;These laws will help the Kingdom of France centralise and not depend on the French Appanages.;;;;;;;;;;;;;x
france_appanage_laws_vassal_desc;These laws will strengthen the Roi and the Appanages to rely more on them.;;;;;;;;;;;;;x

