bloodline_kurdish;Blood of the Saladin;;;;;;;;;;;;;x
bloodline_kurdish_desc;The Blood of the mighty sultan of the Ayyubids;;;;;;;;;;;;;x

bloodline_angevin;Blood of Angevin;;;;;;;;;;;;;x
bloodline_angevin_desc;This Character has unified France under England and formed the Dual Monarchy of the Angevins;;;;;;;;;;;;;x

add_to_bloodline; Inherit the Blood of Salladin;;;;;;;;;;;;;x
add_to_bloodline_desc; You are now worthy enough to have this bloodline;;;;;;;;;;;;;x

jihad_sultan_blood;Jihad Blood of [This.GetTitledFirstName];;;;;;;;;;;;;x
jihad_sultan_blood_desc;[This.GetSheHeCap] is known as the Sultan of the first Jihader Sultan of [This.PrimaryTitle.GetBaseName]. A just ruler who fought and bled for the faith.;;;;;;;;;;;;;x
