EVTNAMECATSCM.100;The Catholic Schism;;;;;;;;;;;x
EVTDESCCATSCM.100;At last, it seems the Christians have finally settled their problems ever since the Papacy has conquered and reconverted the holy provinces of Orthodoxy and subjugating the Orthodox Patriarchy. The news says that after the conquests and conversions of these provinces, the Papacy finally had the power and control needed to end the Catholic Schism and send out envoys to any Orthodox ruler with the approval of the disolved Patriarchy to join the true Christian Faith;;;;;;;;;;;x
EVTOPTCATSCM.001;Interesting;;;;;;;;;;;x

EVTNAMECATSCM.001;The Catholic Schism;;;;;;;;;;;x
EVTDESCCATSCM.001;Your Holiness, we have finished the preperations. We are now ready to send envoys to every known Orthodox ruler to make them submit to the Holy See and become Christian.;;;;;;;;;;;x
EVTOPTCATSCM.002;Excelent, spread the word!;;;;;;;;;;;x

EVTNAMEIsls.002;The Envoy from the Papacy;;;;;;;;;;;x
EVTDESCIsls.002;My Liege, we have recieved an envoy from the Holy See. It seems that the problems between our faith and the Chrisitan faith has been settled, it even has the both the seals of the Papay and the Patriarchy. It must be true then... They are requesting for us to give up on our faith and join the Catholic Faith as the Patriarch also aproved this. Sire, what shall we do?;;;;;;;;;;;x
EVTOPTCATSCM.003;We shall go with our Patriarch;;;;;;;;;;;x
EVTOPTCATSCM.004;We will never abandon our faith!;;;;;;;;;;;x

EVTNAMECATSCM.003;The End of the Orthodox Schism;;;;;;;;;;;;;x
EVTDESCCATSCM.003;This is the end of an era. The Holy See has recently won a decicive victory against the Orthodox Patriarch and the Orthodox World. The Pope has marched onto Constantinople and have made their demands to finally put an end to the Schism and reunite with the Holy See, making the Patriarch obsolete. This is a big day for the Catholic world, a dream come true.;;;;;;;;;;;;;x
EVTOPTCATSCM.005;Peace at last;;;;;;;;;;;;;x

EVTNAMECATSCM.004;The Defeat of the Holy See
EVTDESCCATSCM.004;News has spread that the Holy See has been defeated after they could not buldge the might of the Orthodox Crusaders against the Papacy. The Catholic will enter a dark age, an age where it seems that the two churches will never be united and stay seperated for good.;;;;;;;;;;;x

EVTNAMECATSCM.005;The Crusade on Orthodoxy;;;;;;;;;;;;;x
EVTDESCCATSCM.005;Your Holiness, the preperations are as good as ready. This will be one of the grandest wars Europe will ever see, even God will look at us from His Throne. It is time to put an end to this Orthodox Schism.;;;;;;;;;;;;;x
EVTOPTCATSCM.010;Declare the Crusade!;;;;;;;;;;;;;x
EVTOPTCATSCM.011;I changed my mind, no need for bloodshed;;;;;;;;;;;;;x


EVTNAMECATSCM.006;The Invasion of the Holy See;;;;;;;;;;;;;x
EVTDESCCATSCM.006;Sire, we have heard that the Holy See has started a war on the Eastern Roman Empire and the Patriarch to put an end to the Christian Schism that has been going on for ages. This will truly be a Conflict of the World in which perhaps God will watch from Heaven;;;;;;;;;;;;;x
EVTOPTCATSCM.006;The Humanity...;;;;;;;;;;;;;x

CB_NAME_END_ORTHODOX_SCHISM;Catholic-Orthodox Schism Despute;;;;;;;;;;;;;x
WAR_NAME_END_ORTHODOX_SCHISM;Catholic-Orthodox Schism Despute;;;;;;;;;;;;;x

war_orthodox_papacy;This will start a war against the Orthodox World and call Catholic Rulers to war;;;;;;;;;;;;;x

join_neither_side_CTLSCHM;We shall stay Neutral in this conflict;;;;;;;;;;;;;x
join_war_to_help_pope_CTLSCHM;We shall go to arms in the name of the Holy See;;;;;;;;;;;;;x
join_war_to_defend_orthodox_CTLSCHM;We shall defend the Patriarch;;;;;;;;;;;;;x

EVTNAMECATSCM.007;An Request from the Holy See;;;;;;;;;;;;;x
EVTDESCCATSCM.007;The recent news must be true, the Papacy has at last declared war on the Eastern Roman Empire and the Orthodox Patriarchy to end the Schism between the two churches. However, it seems that they are asking for our help in this conflict. What shall we respond to the Papacy?;;;;;;;;;;;;;x
EVTOPTCATSCM.007;We shall go to arms in the name of the Holy See
EVTOPTCATSCM.008;We shall stay Neutral in this conflict

EVTNAMECATSCM.008;The Papal Invasion on Orthodox Christianity;;;;;;;;;;;;;x
EVTDESCCATSCM.008;Concerning news my liege. We have spotted a massive crusader army headed towards our direction. The news says that the Papacy has declared on the Eastern Roman Empire to destroy Orthodoxy. Our faith is in danger and we have to act, what shall we do?
EVTOPTCATSCM.009;We shall defend the Patriarch
