kurdish_heart_world;Heart of the World;;;;;;;;;;;x
kurdish_heart_world_desc;O history, either I will adorn you with freedom, or I will consider you as I have not lived you;;;;;;;;;;;x

feudal_library_1;Small Castle Library;;;;;;;;;;;x
feudal_library_2;Castle Library;;;;;;;;;;;x
feudal_library_3;Expanded Castle Library;;;;;;;;;;;x
feudal_library_4;Busy Castle Library;;;;;;;;;;;x
feudal_library_5;Major Castle Library;;;;;;;;;;;x

feudal_library_1_desc;In order to invent, study and at last come up with new and faster ways to progress with the world. Building this Library is not a bad choice;;;;;;;;;;;x

pirate_den_1;Small Pirate Den;;;;;;;;;;;x
pirate_den_2;Pirate Den;;;;;;;;;;;x
pirate_den_3;Expanded Pirate Den;;;;;;;;;;;x
pirate_den_4;Fortified Pirate Den;;;;;;;;;;;x
pirate_den_5;Pirate Fortress;;;;;;;;;;;x

pirate_den_1_desc;This Den is essential for Pirates to hold on to their operations and their wealth, it acts like a Headquarters except for Pirates;;;;;;;;;;;x

eu_gold_mine_1;Gold Mine;;;;;;;;;;;x
eu_gold_mine_2;Expanded Gold Mine;;;;;;;;;;;x

eu_silver_mine_1;Silver Mine;;;;;;;;;;;x
eu_silver_mine_2;Expanded Silver Mine;;;;;;;;;;;x

eu_gold_mine_1_desc;This structure always has been the epicenter for the goods produced in this province. It usualy is a sign of prosperity as the goods produced here are often very valuable;;;;;;;;;;x

eu_silk_plantation_1;Silk Plantation;;;;;;;;;;;x
eu_silk_plantation_2;Expanded Silk Workshop;;;;;;;;;;;x

ar_confederation_admin_1;Confederate Administration Center;;;;;;;;;;;x
ar_confederation_admin_2;Confederate Administration Center;;;;;;;;;;;x
ar_confederation_admin_3;Confederate Administration Center;;;;;;;;;;;x
ar_confederation_admin_4;Confederate Administration Center;;;;;;;;;;;x

ar_confederation_admin_desc;This Administrative Center is used to keep the Confederation in check and to have a more efficient Administration within the realms;;;;;;;;;;;x

ar_confederation_inn_1;Local Inn;;;;;;;;;;;x
ar_confederation_inn_2;Local Inn;;;;;;;;;;;x
