k_burgundy_kingdom;Kingdom of Burgundy;;;;;;;;;;;x
e_mughals;Mughals;;;;;;;;;;;x
e_west_rome;Western Roman Empire;;;;;;;;;;;x
d_legion_italia;Legion of Italica;;;;;;;;;;;x
d_south_tyrol;Trent;;;;;;;;;;;x
k_dutch_republic;Dutch Republic;;;;;;;;;;;x
e_celtic_empire;Celtic Empire;;;;;;;;;;;x
k_celtic_christian;Insular Church;;;;;;;;;;;x
e_north_sea;North Sea Empire;;;;;;;;;;;;;x
e_varingian;Varingian Empire;;;;;;;;;;;;;x
e_byzantium;Eastern Roman Empire;;;;;;;;;;;;;x
k_papacy;Romagna;;;;;;;;;;;;;x
d_insular_guard;Insular Church Guard;;;;;;;;;;;;;x

b_genoa_treviso;House Ansaldo;;;;;;;;;;;;;x

celtic_christian;Insular;;;;;;;;;;;x
celtic_christian_DESC;Insular Christianity (or Celtic Christianity to some) is a form of Christianity that was common, or held to be common, across the Celtic-speaking world during the Early Middle Ages. Some writers have described a distinct Celtic Church uniting the Celtic peoples and distinguishing them from adherents of the Roman Church, while others classify Celtic Christianity as a set of distinctive practices occurring in those areas.;;;;;;;;;;;x
