HREARNAME1;The Imperial Succession;;;;;;;;;;;;;x
HREDESC1;At last, your father Louis the Pious has died after living a longer life then most people in the World. You now have to decide what to do with the Empire. You can perhaps assume control over Louis's Throne and keep his Empire together or you could shatter the Holy Roman Empire and let your brother go. What shall we do;;;;;;;;;;;;;x

EVTOPTHREAR.1;It is time to end this Empire;;;;;;;;;;;;;x
EVTOPTHREAR.2;Louis's Legacy shall live on!;;;;;;;;;;;;;x

HREARNAME2;Louis's Legacy;;;;;;;;;;;;;x
HREDESC2;You have decided to keep the Empire together, as much as this is preferable to maintain your current power. This will anger your brothers and vassals alike, therefore you will have to deal with a few problems that the Empire will bring with you. Either you maintain control, or you will splinter at last. May God be on your side, Louis will be watching from Heaven;;;;;;;;;;;;;x
EVTOPTHREAR.5;In the name of God, Louis and Charlemagne;;;;;;;;;;;;;x

HREARNAME3;The Crown of Louis Shattered;;;;;;;;;;;;;x
HREDESC3;It is no suprise that Louis's Empire would end when he would die. Louis lived a long life which is unheard of, however at last he lost his life. After the Crown passed to his Son, it seems that the Ambitious King has decided to Dismantle the Empire that his Father and Grandfather have build. Therefore, The Holy Roman Empire is gone... but for how long..?;;;;;;;;;;;;;x
EVTOPTHREAR.3;Europe is restored!;;;;;;;;;;;;;x

HREARNAME4;The Imperial Crisis;;;;;;;;;;;;;x
HREDESC4;This has come to a suprise to everyone in Europe. It seems that after the death of Louis the Pious, his son would keep the title of Holy Roman Emperor. This could bring a whole lot of conflicts as all the Kingdoms within the Holy Roman Empire is held by his brothers which are very displeased of this succession. Only time will tell what will happen to this Ancient Empire that has lasted after the Collapse of the Roman Empire. Perhaps, there is a small chance that his son could stabilize the Empire and deal with the internal conflicts. Only time will tell what will happen to the empire;;;;;;;;;;;;;x
EVTOPTHREAR.4;Hah, there is no chance!;;;;;;;;;;;;;x

hre_curse_1;Problematic Imperial Administration;;;;;;;;;;;;;x
hre_curse_2;Infamous Imperial Empire;;;;;;;;;;;;;x
hre_curse_3;Disorganized Imperial Army;;;;;;;;;;;;;x
hre_curse_4;Imperial Clergy Unhappy;;;;;;;;;;;;;x

hre_curse_1_desc;After the death of Louis. The Empire's Administration is thrown into disarray. This can only be fixed if the current ruler starts taking action.;;;;;;;;;;;;;x
hre_curse_2_desc;With the loss of Louis, the new ruler has not as big of a reputation as Louis had. Diplomacy can there fore be troubling;;;;;;;;;;;;;x
hre_curse_3_desc;The Imperial Army is not happy with the current ruler as they were loyal to Louis only. After his death, the whole Empire including the Army expected to finally be free and return to their own Kingdoms, but this isnt the case.;;;;;;;;;;;;;x
hre_curse_4_desc;It seems that the Clergy of the Holy Roman Empire are not happy with the current ruler. Louis the Pious was known to be a true Christian follower. However since Louis is not arround anymore and with the current Crisis going on. The Clergy also is not satisfied with the current sittuation;;;;;;;;;;;;;x

end_hre_crisis_1;Resolve Imperial Administration;;;;;;;;;;;;;x
end_hre_crisis_2;Restore Imperial Diplomacy;;;;;;;;;;;;;x
end_hre_crisis_3;Reform the Imperial Army;;;;;;;;;;;;;x
end_hre_crisis_4;Appease the Imperial Clergy;;;;;;;;;;;;;x

end_hre_crisis_1_desc;It is finally the time to resolve the issue of the Administration of our vast Empire and let our subjects know who rules these lands;;;;;;;;;;;;;x
end_hre_crisis_2_desc;Despite our size, we have to set our place in Europe. It is time to restore the trust of Europe with our presence;;;;;;;;;;;;;x
end_hre_crisis_3_desc;After many attempts, it is finaly time to finish the disaray with our army and restore order within the Holy Roman Empire;;;;;;;;;;;;;x
end_hre_crisis_4_desc;Not only the nobility was against us but also the Clergy within these lands. However it is now time to satisfy the Clergy and let them know what we are Louis the Pious's Successor;;;;;;;;;;;;;x

finalize_hre_crisis;Finalize the Imperial Crisis;;;;;;;;;;;;;x
finalize_hre_crisis_desc;It took alot of time and effort, but it is worth it at the end. We have finally stabalized the Holy Roman Empire and regained control over our vassals and our army. It is now time to finalize this crisis at once!;;;;;;;;;;;;;x

HREARNAME12;Imperial Crisis averted;;;;;;;;;;;;;x
HREDESC12;This is unbelievable. News has spread that the Holy Roman Empire has resolved their crisis and stabalized everything within the Empire. It seems like the Empire of Charlemagne will stand tall after all. If Louis the Pious were to be alive, he would surely be proud of his grandchildren. While they rejoice, the rest of Europe watches with evny and fear as this massive Empire will surely last troughout the ages. God only knows what their next ambition is;;;;;;;;;;;;;x
EVTOPTHREAR.10;Vivat imperium Karolus!;;;;;;;;;;;;;x

HRE_INVASION_MISSION_ARMY;Tribal Invaders;;;;;;;;;;;;;x
hre_army_warning;§RAn hostile army will approach your land and start an Invasion§!;;;;;;;;;;;;;x

hre_crisis_reward;New Imperial Administration;;;;;;;;;;;;;x
hre_crisis_reward_desc;After resolving our Imperial Crisis, we can confidently say that we have finally finished our internal struggles and therefore a new empire has born with a new way of administrating its realm;;;;;;;;;;;;;x


CB_NAME_SCRIPTED_INVASION;Sudden Invasion;;;;;;;;;;;;;x
WAR_NAME_SCRIPTED_INVASION;Sudden Invasion;;;;;;;;;;;;;x

HREARNAME10;The Barbaric Invasion on Germany;;;;;;;;;;;;;x
HREDESC10;Good grief, as thing could not go any worse. It seems like a invasion force that came from Scandanavia has arrived at Hamburg and are attacking our Castles. We have to stop this army at once!;;;;;;;;;;;;;x
