T_GGH2;Guelphs and Ghibbelines;;;;;;;;;;;;;x
D_GGH2;After the passing of the Concordat of Worms by the Salian Kings, the newly elected Kaiser has appointed the primate back to himself.\n\nIn reaction to this a new faction is forming by the outraged vassals. ;;;;;;;;;;;;;x
A_GGH2;Frightening.;;;;;;;;;;;;;x
T_GGH3;Guelphs and Ghibbelines;;;;;;;;;;;;;x
D_GGH3;After the passing of the Concordat of Worms by the Salian Kings, the newly elected Kaiser has appointed the primate back to himself.\n\nIn reaction to this a new faction is forming by the outraged vassals. ;;;;;;;;;;;;;x
A_GGH3;We shall stand by the Holy See.;;;;;;;;;;;;;x
B_GGH3;My interests lay in the empire.;;;;;;;;;;;;;x
C_GGH3;This isn't my fight.;;;;;;;;;;;;;x
T_GGH200;Guelphs and Ghibbelines;;;;;;;;;;;;;x
D_GGH200;I've come to the conclusion that it might be the time for me to pick a side within this internal conflict. Now is only the choice which side do I take?;;;;;;;;;;;;;x
A_GGH200;The Guelphs have my support;;;;;;;;;;;;;x
B_GGH200;The Ghibbelines have my support;;;;;;;;;;;;;x
C_GGH200;Actually, nevermind.;;;;;;;;;;;;;x
T_GGH201;Leaders of the Factions;;;;;;;;;;;;;x
D_GGH201;Here are the Guelph and Ghibbeline leaders;;;;;;;;;;;;;x
A_GGH201;Ok.;;;;;;;;;;;;;x
T_GGH205;To Arms!;;;;;;;;;;;;;x
D_GGH205;I'm calling you to arms in the struggle against the Emperor!;;;;;;;;;;;;;x
A_GGH205;Raise my banner!;;;;;;;;;;;;;x
T_GGH300;Victory in the Empire;;;;;;;;;;;;;x
D_GGH300;With the defeat of the last Imperial forces, the conclusion to the Guelph and Ghibbeline struggles has finally been realised. After many clashes the winning side finally gets to decide over the law of land, most importantly the investiture of the empire.\n\nWith political opponents imprisoned surely this status quo will last?;;;;;;;;;;;;;x
T_GGH402;Dictatus Papae;;;;;;;;;;;;;x
