emperor_hre_very_low;Weak Reign;;;;;;;;;x
emperor_hre_very_low_desc;§Y[GetTitledNameWithNick]'s§! power is very diminished and cannot act on their own.\nCurrent Imperial Authority: §Y[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_hre_low;Weak Reign;;;;;;;;;x
emperor_hre_low_desc;§Y[GetTitledNameWithNick]'s§! power is in a weakened state.\nCurrent Imperial Authority: §Y[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_hre_average;Stable Reign;;;;;;;;;x
emperor_hre_average_desc;§Y[GetTitledNameWithNick]'s§! power is stable, however actions might decrease or increase it.\nCurrent Imperial Authority: §M[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_hre_high;Strong Reign;;;;;;;;;x
emperor_hre_high_desc;§Y[GetTitledNameWithNick]'s§! power is strong and centralised, they have the first say in the empire.\nCurrent Imperial Authority: §G[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_hre_very_high;Very Strong Reign;;;;;;;;;x
emperor_hre_very_high_desc;§Y[GetTitledNameWithNick]'s§! power is very strong and rules the empire as if it were their own.\nCurrent Imperial Authority: §G[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
guelph;Guelph;;;;;;;;;x
guelph_desc;[GetGGhFaction];;;;;;;;;x
ghibbeline;Ghibbeline;;;;;;;;;x
ghibbeline_desc;[GetGGhFaction];;;;;;;;;x
emperor_byz_very_low;Weak Reign;;;;;;;;;x
emperor_byz_very_low_desc;§Y[GetTitledNameWithNick]'s§! power is very diminished and cannot act on their own.\nCurrent Imperial Authority: §Y[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_byz_low;Weak Reign;;;;;;;;;x
emperor_byz_low_desc;§Y[GetTitledNameWithNick]'s§! power is in a weakened state.\nCurrent Imperial Authority: §Y[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_byz_average;Stable Reign;;;;;;;;;x
emperor_byz_average_desc;§Y[GetTitledNameWithNick]'s§! power is stable, however actions might decrease or increase it.\nCurrent Imperial Authority: §M[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_byz_high;Strong Reign;;;;;;;;;x
emperor_byz_high_desc;§Y[GetTitledNameWithNick]'s§! power is strong and centralised, they have the first say in the empire.\nCurrent Imperial Authority: §G[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_byz_very_high;Very Strong Reign;;;;;;;;;x
emperor_byz_very_high_desc;§Y[GetTitledNameWithNick]'s§! power is very strong and rules the empire as if it were their own.\nCurrent Imperial Authority: §G[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_rome_very_low;Weak Reign;;;;;;;;;x
emperor_rome_very_low_desc;§Y[GetTitledNameWithNick]'s§! power is very diminished and cannot act on their own.\nCurrent Imperial Authority: §Y[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_rome_low;Weak Reign;;;;;;;;;x
emperor_rome_low_desc;§Y[GetTitledNameWithNick]'s§! power is in a weakened state.\nCurrent Imperial Authority: §Y[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_rome_average;Stable Reign;;;;;;;;;x
emperor_rome_average_desc;§Y[GetTitledNameWithNick]'s§! power is stable, however actions might decrease or increase it.\nCurrent Imperial Authority: §M[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_rome_high;Strong Reign;;;;;;;;;x
emperor_rome_high_desc;§Y[GetTitledNameWithNick]'s§! power is strong and centralised, they have the first say in the empire.\nCurrent Imperial Authority: §G[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_rome_very_high;Very Strong Reign;;;;;;;;;x
emperor_rome_very_high_desc;§Y[GetTitledNameWithNick]'s§! power is very strong and rules the empire as if it were their own.\nCurrent Imperial Authority: §G[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_generic_very_low;Weak Reign;;;;;;;;;x
emperor_generic_very_low_desc;§Y[GetTitledNameWithNick]'s§! power is very diminished and cannot act on their own.\nCurrent Imperial Authority: §Y[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_generic_low;Weak Reign;;;;;;;;;x
emperor_generic_low_desc;§Y[GetTitledNameWithNick]'s§! power is in a weakened state.\nCurrent Imperial Authority: §Y[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_generic_average;Stable Reign;;;;;;;;;x
emperor_generic_average_desc;§Y[GetTitledNameWithNick]'s§! power is stable, however actions might decrease or increase it.\nCurrent Imperial Authority: §M[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_generic_high;Strong Reign;;;;;;;;;x
emperor_generic_high_desc;§Y[GetTitledNameWithNick]'s§! power is strong and centralised, they have the first say in the empire.\nCurrent Imperial Authority: §G[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x
emperor_generic_very_high;Very Strong Reign;;;;;;;;;x
emperor_generic_very_high_desc;§Y[GetTitledNameWithNick]'s§! power is very strong and rules the empire as if it were their own.\nCurrent Imperial Authority: §G[PrimaryTitle.imperial_auth.GetValue]§!;;;;;;;;;x

