open_mp_menu;Buy a Buff/Modifier;;;;;;;;;;;x

mp_shop_description;This will open a shop where you can buy modifiers or province modifiers for quite some gold;;;;;;;;;;;x

EVTDESCMPSHOP.001;Welcome to Archi's Bazar. What would you like to buy?;;;;;;;;;;;x
open_mp_menu_desc;Here you can buy a boon, these are either to get Morale Damage, Build Cost or to get Techpoints;;;;;;;;;;;x

EVTOPT_MPSHOP_1;Give me Wisdom;;;;;;;;;;;x
EVTOPT_MPSHOP_2;Give me Strength;;;;;;;;;;;x
EVTOPT_MPSHOP_3;Give me Prosperity;;;;;;;;;;;x
EVTOPT_MPSHOP_4;What else do you have?;;;;;;;;;;;x

EVTOPT_MPSHOP_5;Give me Diplomacy;;;;;;;;;;;x
EVTOPT_MPSHOP_6;Give me Prestige and Piety;;;;;;;;;;;x
EVTOPT_MPSHOP_7;Give me a Capital Blessing;;;;;;;;;;;x
EVTOPT_MPSHOP_8;Actually, im fine. Thanks!;;;;;;;;;;;x

mp_shop_part_2;This will show you other blessings and boons you can buy;;;;;;;;;;;x

mp_shop_item_1;Kurdish Blessing of Strength;;;;;;;;;;;x
mp_shop_item_2;Kurdish Blessing of Prosperity;;;;;;;;;;;x
mp_shop_item_3;Kurdish Blessing of Diplomacy;;;;;;;;;;;x
mp_shop_item_4;Kurdish Provincial Blessing;;;;;;;;;;;x
mp_shop_cooldown;Already bought Boon;;;;;;;;;;;x

mp_shop_end;You leave the bazar empty-handed. However, you can always come back and buy something later;;;;;;;;;;;x

convert_piety_prestige;Convert Piety to Prestige;;;;;;;;;;;x
convert_piety_prestige_desc;If you need some Prestige, you can trade in some of your Piety to get extra Prestige;;;;;;;;;;;x

convert_prestige_piety;Convert Prestige to Piety;;;;;;;;;;;x
convert_prestige_piety_desc;If you need some Piety, you can trade in some of your Prestige to get extra Piety;;;;;;;;;;;x

cooldown_convertion_pp;Prestige/Piety Conversion Cooldown;;;;;;;;;;;x
cooldown_convertion_pp_desc;Becoming a Pious or a Prestigious person can be hard to achieve. This left you stressed and you figure to take a small break;;;;;;;;;;;x
cooldown_library;Study Burnout;;;;;;;;;;;x
cooldown_library_desc;This character has currently studied too hard in the Library;;;;;;;;;;;x
no_north_korea;You must not be over your Demesne Size;;;;;;;;;;;x

study_character;Visit Library;;;;;;;;;;;x
study_character_desc;Since we are in need of some Technological Advancements, maybe it is not a bad idea to study some books to find the answers;;;;;;;;;;;x
