CB_NAME_RASHUDIN_INVASION;Islamic Invasion of [Title.GetBaseName];;;;;;;;;;;x
WAR_NAME_RASHUDIN_INVASION;Islamic Invasion of [Title.GetBaseName];;;;;;;;;;;x
first_rashudin_invasion_desc;The ruler of [Title.GetBaseName] have refused our offer for them to embrace Islam. As the Caliph of Islam, i cannot let these heretics get away with their belives while they enjoy their riches and power. It is time we conquer these lands to secure the power of the Caliphate and to try spreading the word of Islam to hopefull gain more followers, those that wont convert are free to belive what they want.;;;;;;;;;;;x
rashudin_invasion_cb_desc;The ruler of [Title.GetBaseName] have refused our offer for them to embrace Islam. As the Caliph of Islam, i cannot let these heretics get away with their belives while they enjoy their riches and power. It is time we conquer these lands to secure the power of the Caliphate and to try spreading the word of Islam to hopefull gain more followers, those that wont convert are free to belive what they want.;;;;;;;;;;;x

byz_rashudin_ortho;The Eastern Roman Empire will install a Orthodox Arabic Kingdom and dismantle the Caliphate;;;;;;;;;;;x

EVTNAMERASHD1;The Kingdom has been Conquered;;;;;;;;;;;x
EVTDESCRASHD1;Glory to the Caliphate, we have conquered the enemy's Kingdom. Now we march forward to our next target, to bring them into the fold of Islam and the Caliphate;;;;;;;;;;;x

ANNORASHD.100;The Islamic Conquest of Iraq;;;;;;;;;;;x
ANNORASHDDESC.100;It seems that the newly risen Caliphate for the religion called Islam have beaten the mighty Sassanid and Eastern Roman Empire in one battle. Just who are these warriors in the Middle East.... Nevertheless, it seems that they have therefore conqurered the Kingdom of Iraq and started converting the populus to the faith of Islam;;;;;;;;;;;x

ANNORASHD.101;The Ghassanids have been defeated;;;;;;;;;;;x
ANNORASHDDESC.101;Without catching a break, it seems that the Ghassanids have been defeated. They have been recent friends of the Eastern Roman Empire and have always gotten aid from them. However, the Eastern Roman Empire have been defeated yet again. Now that the Middle Eastern desert have fell into the hands of the Rashudin Caliphate, they now have opened the gates to the Levant for an imminent invasion;;;;;;;;;;;x

ANNORASHD.102;The Islamic Conquest of Jerusalem;;;;;;;;;;;x
ANNORASHDDESC.102;With the rapid conquest of the Rashudin Caliphate and the swift defeats of the well-known might Empires, they have hence secured and conquered the Kingdom of Jerusalem. Victory after victory, this is alarmingly concerning. At this rate, no one can defeat them except God. If Christianity is about worshipping God, then why does God help this Islamic Caliphate with all of these miraculous-like victories...;;;;;;;;;;;x

ANNORASHD.103;The Islamic Conquest of Syria;;;;;;;;;;;x
ANNORASHDDESC.103;With the rapid conquest of the Rashudin Caliphate and the swift defeats of the well-known might Empires, they have hence secured and conquered the Kingdom of Syria. Victory after victory, this is alarmingly concerning. At this rate, no one can defeat them except God. If Christianity is about worshipping God, then why does God help this Islamic Caliphate with all of these miraculous-like victories...;;;;;;;;;;;x

ANNORASHD.104;The Islamic Conquest of Mesopotamia;;;;;;;;;;;x
ANNORASHDDESC.104;With the rapid conquest of the Rashudin Caliphate and the swift defeats of the well-known might Empires, they have hence secured and conquered the Kingdom of Mesopotamia. Victory after victory, this is alarmingly concerning. At this rate, no one can defeat them except God. If Christianity is about worshipping God, then why does God help this Islamic Caliphate with all of these miraculous-like victories...;;;;;;;;;;;x

ANNORASHD.105;The Islamic Conquest of Egypt;;;;;;;;;;;x
ANNORASHDDESC.105;With the rapid conquest of the Rashudin Caliphate and the swift defeats of the well-known might Empires, they have hence secured and conquered the Kingdom of Egypt. Victory after victory, this is alarmingly concerning. At this rate, no one can defeat them except God. If Christianity is about worshipping God, then why does God help this Islamic Caliphate with all of these miraculous-like victories...;;;;;;;;;;;x

ANNORASHD.106;The Islamic Conquest of Persia;;;;;;;;;;;x
ANNORASHDDESC.106;With the rapid conquest of the Rashudin Caliphate and the swift defeats of the well-known might Empires, they have hence secured and conquered the Kingdom of Persia. Victory after victory, this is alarmingly concerning. At this rate, no one can defeat them except God. If Christianity is about worshipping God, then why does God help this Islamic Caliphate with all of these miraculous-like victories...;;;;;;;;;;;x

ANNORASHD.107;The Islamic Conquest of Sistan;;;;;;;;;;;x
ANNORASHDDESC.107;With the rapid conquest of the Rashudin Caliphate and the swift defeats of the well-known might Empires, they have hence secured and conquered the Kingdom of Sistan. Victory after victory, this is alarmingly concerning. At this rate, no one can defeat them except God. If Christianity is about worshipping God, then why does God help this Islamic Caliphate with all of these miraculous-like victories...;;;;;;;;;;;x

ANNORASHD.108;The Islamic Conquest of Armenia;;;;;;;;;;;x
ANNORASHDDESC.108;With the rapid conquest of the Rashudin Caliphate and the swift defeats of the well-known might Empires, they have hence secured and conquered the Kingdom of Armenia. Victory after victory, this is alarmingly concerning. At this rate, no one can defeat them except God. If Christianity is about worshipping God, then why does God help this Islamic Caliphate with all of these miraculous-like victories...;;;;;;;;;;;x

ANNORASHD.109;The Islamic Conquest of Africa;;;;;;;;;;;x
ANNORASHDDESC.109;With the rapid conquest of the Rashudin Caliphate and the swift defeats of the well-known might Empires, they have hence secured and conquered the Kingdom of Africa. Victory after victory, this is alarmingly concerning. At this rate, no one can defeat them except God. If Christianity is about worshipping God, then why does God help this Islamic Caliphate with all of these miraculous-like victories...;;;;;;;;;;;x

ANNORASHD.110;The Final Stretch towards Hispania;;;;;;;;;;;x
ANNORASHDDESC.110;Indeed, from where this was seen as a major raid towards the Eastern Roman Empire. It now seems that this new Empire or Caliphate has conquered their way to the Kingdom of Spain. Surely, at some point, even for this miraculous-like Empire, there is a breaking point for having this much land... Their Empire extends from the Gates of India all the way to the Heart of Hispania. Perhaps this marks as the end of the Conquest, or maybe they will conquer deeper into Europe... Only time will tell what the Caliphate will do next...;;;;;;;;;;;x

ANNORASHD.111;The Islamic Conquest of Khorasan;;;;;;;;;;;x
ANNORASHDDESC.111;With the rapid conquest of the Rashudin Caliphate and the swift defeats of the well-known might Empires, they have hence secured and conquered the Kingdom of Khorasan. Victory after victory, this is alarmingly concerning. At this rate, no one can defeat them except God. If Christianity is about worshipping God, then why does God help this Islamic Caliphate with all of these miraculous-like victories...;;;;;;;;;;;x

ANNORASHD200;The Caliphate is repeled;;;;;;;;;;;x
ANNORASHDDESC200;As figured, this newly risen Caliphate in Arabia got beaten after the Sassanids and the Eastern Roman Empire formed a Coalition against these Arabian Raiders after they have launched a massive invasion against both Empires. It seems like the Eastern Roman Empire also went ahead and established a Orthodox Kingdom in Arabia to assert full dominance in Arabia so that these kind of Invasions will never happen again..;;;;;;;;;;;x

CB_NAME_RASHUDIN_UMAYYAD;First Fitna;;;;;;;;;;;x
WAR_NAME_RASHUDIN_UMAYYAD;First Fitna;;;;;;;;;;;x
umayyad_rashudin_war_desc;The Rashudins are starting to become more and more corrupt, it is time we stop this at once and assert our dominance in the name of the Umayyad Dynasty;;;;;;;;;;;x

CB_NAME_RASHUDIN_UMAYYAD_TWO;Abbasid Revolt;;;;;;;;;;;x
WAR_NAME_RASHUDIN_UMAYYAD_TWO;Abbasid Revolt;;;;;;;;;;;x
abbasid_umayyad_war_desc;The Umayyads are starting to become more and more corrupt while favoring their own people over anyone else, This is against Islam while disgracefull them to call themself a Caliphate. it is time we end the Umayyad dynasty at once and install the Abbasid Dynasty as the new rulers of the Caliphate;;;;;;;;;;;x

EVTNAMERASHD112;A Fitna begins;;;;;;;;;;;x
EVTDESCRASHD112;Grim News, we have heard that the alarmingly powerfull dynasty, the Umayyads have at last started a Islamic Civil War against us to overthrow our holy dynasty that has been appointed by the people. We must defeat the Umayyads at once!;;;;;;;;;;;x

EVTNAMERASHD113;The Islamic Expansion Continues;;;;;;;;;;;x
EVTDESCRASHD113;As the enemy have been defeated, we shall continue our expansion;;;;;;;;;;;x

EVTNAMERASHD114;The Abbasid Revolt;;;;;;;;;;;x
EVTDESCRASHD114;Bad News, it seems that our recently banished free-man called Abu Muslim have gathered quite the support in Persia to start a rebellion against us. They have raised black banners and are proclaiming the Abbasid Caliphate naming after their own dynasty called the Abbasids. Apperently, we are too harsh to anyone except our own people but this is redicilous! None the less, this is an alarming problem and we have to deal with this at once, before he gains more power.;;;;;;;;;;;x

EVTNAMERASHD115;The Final Bastion;;;;;;;;;;;x
EVTDESCRASHD115;My Caliph, it seems that we have not yet defeated the Visigothics just yet. After our conquest in Hispania, they took some of the land we have taken from them and they use the mountains of Northen Hispania. As they have established themselfs, they have continously raided our caravans and harrashed our garrisons on the border. We have to put an end to this before it could affect us bad in the future...;;;;;;;;;;;x

ANNORASHD116;The Final Bastion;;;;;;;;;;;x
ANNORASHDDESC116;As the Caliphate has conquered all of Hispania, it seems the Visigoths have not yet given up and have established a small realm on the mountains of Northen Hispania. Christianity in Hispania is not yet defeated, time will tell what they will do nextThe Final Bastion;;;;;;;;;;;x

ANNORASHD300;The Umayyads;;;;;;;;;;;x
ANNORASHDDESC300;While the Umayyads are currently invading you... perhaps, you would like to be like the Umayyads?;;;;;;;;;;;x

ANNORASHD301;The Abbasids;;;;;;;;;;;x
ANNORASHDDESC301;While the Abbasids are currently invading you... perhaps, you would like to be like the Abbasids?;;;;;;;;;;;x
