islam_unifier;Blood of the Caliph;;;;;;;;;;;;;x
unify_isl;Islamic Authority of the Caliph;;;;;;;;;;;;;x
unify_islam;Unify all of Islam;;;;;;;;;;;;;x
unify_islam_desc;The time of Islamic Unification has come, unite your people and consolidate your power as Caliph of the Islamic World!;;;;;;;;;;;;;

caliphate_government;Caliphate;;;;;;;;;;;;;x
caliphate_government_desc;A caliphate is an institution or public office under the leadership of an Islamic steward with the title of caliph, a person considered a political-religious successor to the Islamic prophet Muhammad and a leader of the entire Muslim world.;;;;;;;;;;;;;x


mend_islamic_schism;Mend the Islamic Schism;;;;;;;;;;;;;x
mend_islamic_schism_desc;Since the death of Muhammed, Islam has been divided into many warring sects, each claiming to be a rightful continuation of Muhammed's Caliphate, if I were to unite them under Shia Islam. I could proclaim myself the true heir of the Caliphate, ending this Schism once and for all!;;;;;;;;;;;;;x

EVTTOOLTIPIsls.005;The Great Islamic Schism has been mended and all of Islam is united once more under one faith;;;;;;;;;;;;;x
EVTNAMEIsls.005;The Islamic Schism;;;;;;;;;;;;;x
EVTDESCIsls.005;For a long time, The Muslims were always split in two major sects, the Sunnis and the Shiites. For long there there were many arguments and conflicts between the two. However, today marks a special day within the Islamic World. From this day forward the Caliphate has proclaimed and enforced a Islamic Schism towards the Sunni Muslims. They will have to either submit to the Shiite faith or to continue their heretical ways!;;;;;;;;;;;;;x
EVTNAMEIsls.006;The choice of Submission;;;;;;;;;;;;;x
EVTDESCIsls.006;Now that the Caliph has unified the different warring sects of Islam that have been split since the death of Mohammed, He has presented an ultimatum to the rulers of the other Islamic sects, we either to convert to the new dominant faith, or we fall to his new proclaimed era of Jihad. Either way, the future of our Realm is in our hands, what do we do?;;;;;;;;;;;;;x
EVTOPTAIsls.001;Peace at last!;;;;;;;;;;;;;x
EVTOPTAIsls.005;We are with the Schism.;;;;;;;;;;;;;x
EVTOPTBIsls.006;No, the Caliph is wrong!;;;;;;;;;;;;;x








